CellNum,number_spots_type_0,number_spots_type_1,number_spots_type_0_only,number_spots_type_1_only,number_spots_type_0_1_both,nDoubleSpots0,nDoubleSpots1,total_spots,numberTS0,numberTS1,tsIntensities0_1,tsIntensities0_2,tsIntensities0_3,tsIntensities0_4,tsIntensities1_1,tsIntensities1_2,tsIntensities1_3,tsIntensities1_4,time,nucIntens0,nucIntens1,nucIntens2,nucIntens3
103,179,93,119,33,60,1,1,212,1,1,73,0,0,0,45,0,0,0,0,3140,2041,6837,1367
104,288,260,122,92,166,2,3,380,0,0,0,0,0,0,0,0,0,0,0,2328,1652,5636,1414
105,20,0,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,2313,1557,6392,1141
107,447,414,120,95,319,12.5,6,534,0,0,0,0,0,0,0,0,0,0,0,2934,2137,7978,1978
108,427,404,128,101,299,6,8,528,1,1,33,0,0,0,30,0,0,0,0,2780,2006,6898,2093
109,120,122,33,36,86,0,0,155,1,1,29,0,0,0,33,0,0,0,0,3352,1439,6709,1384
110,7,9,7,9,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,5008,1559,7726,1283
111,284,296,68,76,216,4,8,360,1,1,8,0,0,0,8,0,0,0,0,3903,1716,9709,1806
112,135,118,41,25,93,1,1,159,1,1,41,0,0,0,31,0,0,0,0,3285,1681,6454,1379
113,95,5,95,5,0,2,0,100,0,0,0,0,0,0,0,0,0,0,0,5199,1930,8698,1265
114,241,261,79,102,159,5,2,340,1,1,45,0,0,0,41,0,0,0,0,3527,1762,8337,1801
115,50,2,50,2,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,3250,1851,8154,1195
116,38,3,38,3,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,3422,1603,7978,1227
117,176,2,176,2,0,2,0,178,0,0,0,0,0,0,0,0,0,0,0,4461,2029,7724,1227
118,485,410,181,110,300,9,11,591,3,2,164,5,5,0,128,8,0,0,0,4358,2451,6370,1984
