,image_id,cell_id,spot_id,nuc_loc_y,nuc_loc_x,cyto_loc_y,cyto_loc_x,nuc_area_px,cyto_area_px,cell_area_px,z,y,x,is_nuc,is_cluster,cluster_size,spot_type,is_cell_fragmented,nuc_int_ch_0,nuc_int_ch_1,nuc_int_ch_2,nuc_int_ch_3,cyto_int_ch_0,cyto_int_ch_1,cyto_int_ch_2,cyto_int_ch_3,spot_int_ch_0,spot_int_ch_1,spot_int_ch_2,spot_int_ch_3
53,0,0,20,236,390,0,0,6145,0,0,17,244,424,1,0,0,1,0,3213.8088,1141.4352,4829.1504,1305.9759,0.0,0.0,0.0,0.0,278.9333333333333,-21.600000000000023,247.5999999999999,708.6666666666666
54,0,0,21,236,390,0,0,6145,0,0,18,262,401,1,0,0,1,0,3213.8088,1141.4352,4829.1504,1305.9759,0.0,0.0,0.0,0.0,-266.4,-40.66666666666663,-211.4000000000001,645.9333333333333
55,0,0,22,236,390,0,0,6145,0,0,19,234,393,1,0,0,1,0,3213.8088,1141.4352,4829.1504,1305.9759,0.0,0.0,0.0,0.0,493.0,-63.66666666666663,-470.86666666666656,148.4666666666667
56,0,0,23,236,390,0,0,6145,0,0,7,206,396,1,0,0,1,0,3213.8088,1141.4352,4829.1504,1305.9759,0.0,0.0,0.0,0.0,542.0,245.20000000000005,251.5333333333333,915.6666666666667
57,0,0,24,236,390,0,0,6145,0,0,7,215,422,1,0,0,1,0,3213.8088,1141.4352,4829.1504,1305.9759,0.0,0.0,0.0,0.0,-129.73333333333312,559.0,149.5999999999999,1010.1333333333334
58,0,0,25,236,390,0,0,6145,0,0,7,262,389,1,0,0,1,0,3213.8088,1141.4352,4829.1504,1305.9759,0.0,0.0,0.0,0.0,267.0666666666666,81.5333333333333,-62.73333333333312,1673.0666666666666
59,0,0,26,236,390,0,0,6145,0,0,8,273,372,1,0,0,1,0,3213.8088,1141.4352,4829.1504,1305.9759,0.0,0.0,0.0,0.0,378.8666666666668,9.200000000000045,-113.0666666666666,902.1333333333334
60,0,0,27,236,390,0,0,6145,0,0,9,244,432,1,0,0,1,0,3213.8088,1141.4352,4829.1504,1305.9759,0.0,0.0,0.0,0.0,312.8666666666668,73.39999999999998,217.66666666666674,1084.3333333333333
61,0,0,28,236,390,0,0,6145,0,0,8,245,433,1,0,0,1,0,3213.8088,1141.4352,4829.1504,1305.9759,0.0,0.0,0.0,0.0,215.5999999999999,231.60000000000002,372.13333333333344,576.3333333333333
62,0,0,29,236,390,0,0,6145,0,0,11,210,363,1,0,0,1,0,3213.8088,1141.4352,4829.1504,1305.9759,0.0,0.0,0.0,0.0,-250.26666666666688,-100.93333333333328,262.33333333333326,1006.4666666666667
63,0,0,30,236,390,0,0,6145,0,0,12,216,390,1,0,0,1,0,3213.8088,1141.4352,4829.1504,1305.9759,0.0,0.0,0.0,0.0,480.4000000000001,-30.799999999999955,334.9333333333334,927.9333333333334
64,0,0,31,236,390,0,0,6145,0,0,13,217,388,1,0,0,1,0,3213.8088,1141.4352,4829.1504,1305.9759,0.0,0.0,0.0,0.0,-21.866666666666788,-340.33333333333337,-27.466666666666697,678.3333333333333
65,0,0,32,236,390,0,0,6145,0,0,11,238,365,1,0,0,1,0,3213.8088,1141.4352,4829.1504,1305.9759,0.0,0.0,0.0,0.0,419.0666666666666,455.73333333333335,171.0,821.3333333333333
66,0,0,33,236,390,0,0,6145,0,0,11,261,366,1,0,0,1,0,3213.8088,1141.4352,4829.1504,1305.9759,0.0,0.0,0.0,0.0,178.33333333333348,-42.66666666666663,-178.9333333333334,711.8
67,0,0,34,236,390,0,0,6145,0,0,12,213,376,1,0,0,1,0,3213.8088,1141.4352,4829.1504,1305.9759,0.0,0.0,0.0,0.0,448.4666666666667,-151.93333333333328,-143.5333333333333,856.4666666666667
68,0,0,35,236,390,0,0,6145,0,0,13,253,353,1,0,0,1,0,3213.8088,1141.4352,4829.1504,1305.9759,0.0,0.0,0.0,0.0,68.0666666666666,-42.133333333333326,-508.5999999999999,803.8666666666666
69,0,0,36,236,390,0,0,6145,0,0,15,252,352,1,0,0,1,0,3213.8088,1141.4352,4829.1504,1305.9759,0.0,0.0,0.0,0.0,1006.8,-59.4666666666667,154.26666666666665,681.3333333333333
70,0,0,37,236,390,0,0,6145,0,0,13,258,407,1,0,0,1,0,3213.8088,1141.4352,4829.1504,1305.9759,0.0,0.0,0.0,0.0,-57.066666666666606,144.26666666666665,673.2666666666667,779.8
71,0,0,38,236,390,0,0,6145,0,0,15,240,379,1,0,0,1,0,3213.8088,1141.4352,4829.1504,1305.9759,0.0,0.0,0.0,0.0,332.9333333333334,-88.26666666666665,72.0,981.0666666666666
72,0,0,39,236,390,0,0,6145,0,0,17,257,391,1,0,0,1,0,3213.8088,1141.4352,4829.1504,1305.9759,0.0,0.0,0.0,0.0,278.66666666666674,-89.06666666666672,3800.5333333333338,883.7333333333333
73,0,1,0,279,247,0,0,5462,0,0,6,256,275,1,1,2,1,0,4024.6291,1414.5092,4906.1955,1390.4006,0.0,0.0,0.0,0.0,-259.1428571428569,114.76190476190459,-1286.3333333333321,450.0952380952385
74,0,1,1,279,247,0,0,5462,0,0,6,283,279,1,1,2,1,0,4024.6291,1414.5092,4906.1955,1390.4006,0.0,0.0,0.0,0.0,-402.28571428571377,-71.52380952380963,752.7619047619046,508.9047619047615
75,0,1,2,279,247,0,0,5462,0,0,7,288,260,1,1,2,1,0,4024.6291,1414.5092,4906.1955,1390.4006,0.0,0.0,0.0,0.0,853.1428571428569,1251.5714285714284,32.619047619047706,1924.2380952380954
76,0,1,3,279,247,0,0,5462,0,0,7,292,239,1,1,2,1,0,4024.6291,1414.5092,4906.1955,1390.4006,0.0,0.0,0.0,0.0,1203.0,-212.14285714285688,926.809523809523,1328.7619047619046
77,0,1,4,279,247,0,0,5462,0,0,8,311,249,1,1,2,1,0,4024.6291,1414.5092,4906.1955,1390.4006,0.0,0.0,0.0,0.0,-424.71428571428623,-452.0952380952385,462.5238095238092,2211.2857142857147
78,0,1,5,279,247,0,0,5462,0,0,10,273,219,1,1,2,1,0,4024.6291,1414.5092,4906.1955,1390.4006,0.0,0.0,0.0,0.0,803.0,53.23809523809541,-411.8571428571431,3464.3809523809523
79,0,1,6,279,247,0,0,5462,0,0,10,304,242,1,1,2,1,0,4024.6291,1414.5092,4906.1955,1390.4006,0.0,0.0,0.0,0.0,-880.9047619047615,746.8095238095239,464.9047619047615,2052.6190476190477
80,0,1,7,279,247,0,0,5462,0,0,11,307,230,1,1,2,1,0,4024.6291,1414.5092,4906.1955,1390.4006,0.0,0.0,0.0,0.0,-72.90476190476147,414.33333333333303,-1536.666666666667,162.33333333333303
81,0,1,8,279,247,0,0,5462,0,0,12,281,204,1,1,2,1,0,4024.6291,1414.5092,4906.1955,1390.4006,0.0,0.0,0.0,0.0,892.190476190477,114.90476190476193,-734.8571428571431,2531.9523809523807
82,0,1,9,279,247,0,0,5462,0,0,15,256,268,1,1,2,1,0,4024.6291,1414.5092,4906.1955,1390.4006,0.0,0.0,0.0,0.0,-679.3333333333339,-177.42857142857156,-1198.333333333333,946.5714285714284
83,0,1,10,279,247,0,0,5462,0,0,5,266,271,1,0,0,1,0,4024.6291,1414.5092,4906.1955,1390.4006,0.0,0.0,0.0,0.0,-93.33333333333348,-58.5333333333333,-920.8666666666668,1017.1333333333333
84,0,1,11,279,247,0,0,5462,0,0,5,278,222,1,0,0,1,0,4024.6291,1414.5092,4906.1955,1390.4006,0.0,0.0,0.0,0.0,-336.0666666666666,-155.86666666666667,-108.73333333333312,932.8
85,0,1,12,279,247,0,0,5462,0,0,5,288,221,1,0,0,1,0,4024.6291,1414.5092,4906.1955,1390.4006,0.0,0.0,0.0,0.0,205.26666666666688,158.39999999999998,-1105.0,754.1333333333333
86,0,1,13,279,247,0,0,5462,0,0,6,248,241,1,0,0,1,0,4024.6291,1414.5092,4906.1955,1390.4006,0.0,0.0,0.0,0.0,516.8000000000002,194.66666666666663,-645.7333333333336,851.0
87,0,1,14,279,247,0,0,5462,0,0,7,252,250,1,0,0,1,0,4024.6291,1414.5092,4906.1955,1390.4006,0.0,0.0,0.0,0.0,122.59999999999991,-104.86666666666667,883.3333333333335,515.1333333333334
88,0,1,15,279,247,0,0,5462,0,0,7,310,259,1,0,0,1,0,4024.6291,1414.5092,4906.1955,1390.4006,0.0,0.0,0.0,0.0,-432.8000000000002,-231.79999999999995,-492.2666666666669,980.8666666666666
89,0,1,16,279,247,0,0,5462,0,0,9,245,267,1,0,0,1,0,4024.6291,1414.5092,4906.1955,1390.4006,0.0,0.0,0.0,0.0,368.3333333333335,-167.5333333333333,223.4000000000001,205.5999999999999
90,0,1,17,279,247,0,0,5462,0,0,9,249,243,1,0,0,1,0,4024.6291,1414.5092,4906.1955,1390.4006,0.0,0.0,0.0,0.0,-251.1333333333332,-89.5333333333333,-190.33333333333326,526.1333333333334
91,0,1,18,279,247,0,0,5462,0,0,9,282,248,1,0,0,1,0,4024.6291,1414.5092,4906.1955,1390.4006,0.0,0.0,0.0,0.0,-222.66666666666652,-293.86666666666656,408.79999999999995,267.4666666666667
92,0,1,19,279,247,0,0,5462,0,0,10,274,227,1,0,0,1,0,4024.6291,1414.5092,4906.1955,1390.4006,0.0,0.0,0.0,0.0,-76.0,-184.5333333333333,169.26666666666665,921.9333333333334
93,0,1,20,279,247,0,0,5462,0,0,10,291,278,1,0,0,1,0,4024.6291,1414.5092,4906.1955,1390.4006,0.0,0.0,0.0,0.0,551.2666666666669,485.73333333333335,525.0,627.4666666666667
94,0,1,21,279,247,0,0,5462,0,0,10,309,212,1,0,0,1,0,4024.6291,1414.5092,4906.1955,1390.4006,0.0,0.0,0.0,0.0,-483.0666666666666,503.9333333333334,-173.79999999999995,598.0666666666666
95,0,1,22,279,247,0,0,5462,0,0,11,317,225,1,0,0,1,0,4024.6291,1414.5092,4906.1955,1390.4006,0.0,0.0,0.0,0.0,44.59999999999991,187.33333333333337,-466.86666666666656,211.5333333333333
96,0,1,23,279,247,0,0,5462,0,0,13,266,272,1,0,0,1,0,4024.6291,1414.5092,4906.1955,1390.4006,0.0,0.0,0.0,0.0,-325.7333333333331,-156.0666666666666,34.86666666666656,315.13333333333344
97,0,1,24,279,247,0,0,5462,0,0,13,310,258,1,0,0,1,0,4024.6291,1414.5092,4906.1955,1390.4006,0.0,0.0,0.0,0.0,-419.4000000000001,-279.6,-139.66666666666674,467.79999999999995
98,0,1,25,279,247,0,0,5462,0,0,14,271,234,1,0,0,1,0,4024.6291,1414.5092,4906.1955,1390.4006,0.0,0.0,0.0,0.0,62.0,-337.9333333333334,-577.6666666666667,790.4000000000001
99,0,1,26,279,247,0,0,5462,0,0,15,267,233,1,0,0,1,0,4024.6291,1414.5092,4906.1955,1390.4006,0.0,0.0,0.0,0.0,915.2666666666669,314.6,-328.79999999999995,837.7333333333333
100,0,1,27,279,247,0,0,5462,0,0,15,289,216,1,0,0,1,0,4024.6291,1414.5092,4906.1955,1390.4006,0.0,0.0,0.0,0.0,773.5333333333333,14.600000000000023,-311.86666666666656,512.7333333333333
101,0,1,28,279,247,0,0,5462,0,0,15,298,269,1,0,0,1,0,4024.6291,1414.5092,4906.1955,1390.4006,0.0,0.0,0.0,0.0,-728.0,67.26666666666665,325.79999999999995,443.9333333333334
102,0,1,29,279,247,0,0,5462,0,0,16,257,263,1,0,0,1,0,4024.6291,1414.5092,4906.1955,1390.4006,0.0,0.0,0.0,0.0,185.1333333333332,81.5333333333333,-631.0,551.9333333333334
103,0,1,30,279,247,0,0,5462,0,0,17,278,252,1,0,0,1,0,4024.6291,1414.5092,4906.1955,1390.4006,0.0,0.0,0.0,0.0,1007.6666666666665,171.13333333333344,-269.0,376.33333333333326
104,0,1,31,279,247,0,0,5462,0,0,17,286,225,1,0,0,1,0,4024.6291,1414.5092,4906.1955,1390.4006,0.0,0.0,0.0,0.0,-868.4000000000001,45.200000000000045,26.799999999999955,546.3333333333333
105,0,1,32,279,247,0,0,5462,0,0,19,309,232,1,0,0,1,0,4024.6291,1414.5092,4906.1955,1390.4006,0.0,0.0,0.0,0.0,23.799999999999955,-171.93333333333328,543.0666666666666,750.2
106,0,1,33,279,247,0,0,5462,0,0,6,272,281,1,0,0,1,0,4024.6291,1414.5092,4906.1955,1390.4006,0.0,0.0,0.0,0.0,-96.86666666666679,532.2,991.6000000000004,707.8666666666666
107,0,1,34,279,247,0,0,5462,0,0,7,274,274,1,0,0,1,0,4024.6291,1414.5092,4906.1955,1390.4006,0.0,0.0,0.0,0.0,339.2666666666669,191.73333333333335,955.4000000000001,929.6666666666667
108,0,1,35,279,247,0,0,5462,0,0,6,279,276,1,0,0,1,0,4024.6291,1414.5092,4906.1955,1390.4006,0.0,0.0,0.0,0.0,194.26666666666688,74.20000000000005,500.60000000000036,1080.0
109,0,1,36,279,247,0,0,5462,0,0,7,280,277,1,0,0,1,0,4024.6291,1414.5092,4906.1955,1390.4006,0.0,0.0,0.0,0.0,309.8000000000002,204.0,766.6666666666665,752.2666666666667
110,0,1,37,279,247,0,0,5462,0,0,6,295,268,1,0,0,1,0,4024.6291,1414.5092,4906.1955,1390.4006,0.0,0.0,0.0,0.0,-585.0666666666666,-155.4666666666667,-537.0666666666666,1046.4
111,0,1,38,279,247,0,0,5462,0,0,8,245,253,1,0,0,1,0,4024.6291,1414.5092,4906.1955,1390.4006,0.0,0.0,0.0,0.0,461.8000000000002,-266.73333333333335,95.13333333333344,1044.0
112,0,1,39,279,247,0,0,5462,0,0,9,251,269,1,0,0,1,0,4024.6291,1414.5092,4906.1955,1390.4006,0.0,0.0,0.0,0.0,1372.4666666666667,908.8,-201.86666666666656,981.4000000000001
113,0,1,40,279,247,0,0,5462,0,0,8,258,250,1,0,0,1,0,4024.6291,1414.5092,4906.1955,1390.4006,0.0,0.0,0.0,0.0,-662.4666666666667,-149.4000000000001,73.20000000000005,643.2666666666667
114,0,1,41,279,247,0,0,5462,0,0,9,262,219,1,0,0,1,0,4024.6291,1414.5092,4906.1955,1390.4006,0.0,0.0,0.0,0.0,295.4666666666667,-51.200000000000045,-362.5999999999999,824.8666666666666
115,0,1,42,279,247,0,0,5462,0,0,8,260,220,1,0,0,1,0,4024.6291,1414.5092,4906.1955,1390.4006,0.0,0.0,0.0,0.0,1191.9333333333334,78.06666666666672,511.3333333333335,723.4000000000001
116,0,1,43,279,247,0,0,5462,0,0,9,291,211,1,0,0,1,0,4024.6291,1414.5092,4906.1955,1390.4006,0.0,0.0,0.0,0.0,658.1333333333332,245.20000000000005,649.2,551.3333333333333
117,0,1,44,279,247,0,0,5462,0,0,9,290,279,1,0,0,1,0,4024.6291,1414.5092,4906.1955,1390.4006,0.0,0.0,0.0,0.0,-210.8666666666668,-42.86666666666656,-410.5999999999999,645.8
118,0,1,45,279,247,0,0,5462,0,0,10,259,267,1,0,0,1,0,4024.6291,1414.5092,4906.1955,1390.4006,0.0,0.0,0.0,0.0,1418.4666666666667,-160.73333333333335,7.066666666666606,830.6666666666667
