unique_cell_id,num_spots,num_nuc_spots,num_cyto_spots,num_ts,num_foci,num_spots_ts,largest_ts,second_largest_ts,num_spots_foci,nuc_area,cyto_area,time,dex_conc,replica,fov,nas_location,h5_idx
200133,129,47,82,13,21,57,6,5,96,8371.0,16053.0,0,0.0,E,9,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200136,149,57,92,8,18,33,5,4,80,8349.0,17099.0,0,0.0,E,9,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200142,185,58,127,8,27,37,5,4,124,8867.0,21379.0,0,0.0,E,9,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200146,53,9,44,0,0,0,0,0,0,8834.0,14847.0,0,0.0,E,10,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200149,87,21,66,0,2,0,0,0,30,9603.0,18667.0,0,0.0,E,10,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200153,89,31,58,0,1,0,0,0,30,9302.0,20876.0,0,0.0,E,10,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200155,25,7,18,0,0,0,0,0,0,8318.0,13706.0,0,0.0,E,10,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200156,59,14,45,0,0,0,0,0,0,7752.0,15132.0,0,0.0,E,10,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200161,58,23,35,1,0,4,4,0,0,7877.0,16290.0,0,0.0,E,11,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200163,66,16,50,0,0,0,0,0,0,7808.0,13980.0,0,0.0,E,11,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200165,58,19,39,0,0,0,0,0,0,7728.0,10379.0,0,0.0,E,11,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200166,98,32,66,0,0,0,0,0,0,9618.0,22653.0,0,0.0,E,11,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200167,24,8,16,0,0,0,0,0,0,8236.0,10489.0,0,0.0,E,11,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200168,101,44,57,0,0,0,0,0,0,9520.0,17572.0,0,0.0,E,11,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200169,37,16,21,0,0,0,0,0,0,8963.0,15747.0,0,0.0,E,11,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200174,103,23,80,0,1,0,0,0,5,7893.0,12931.0,0,0.0,E,11,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200176,33,14,19,0,0,0,0,0,0,7652.0,9707.0,0,0.0,E,12,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200181,81,27,54,0,0,0,0,0,0,8132.0,18518.0,0,0.0,E,12,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200183,35,17,18,0,0,0,0,0,0,9570.0,18766.0,0,0.0,E,12,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200191,82,33,49,0,0,0,0,0,0,9297.0,11654.0,0,0.0,E,13,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200194,33,9,24,0,0,0,0,0,0,9333.0,18657.0,0,0.0,E,13,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200195,22,7,15,0,0,0,0,0,0,8913.0,14862.0,0,0.0,E,13,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200197,25,11,14,0,0,0,0,0,0,8359.0,9485.0,0,0.0,E,13,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200199,37,10,27,0,0,0,0,0,0,8899.0,17375.0,0,0.0,E,13,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200200,24,6,18,0,0,0,0,0,0,7765.0,10972.0,0,0.0,E,13,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200206,44,18,26,0,0,0,0,0,0,8669.0,18037.0,0,0.0,E,13,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200208,58,25,33,0,1,0,0,0,21,9570.0,19664.0,0,0.0,E,14,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200210,17,3,14,0,0,0,0,0,0,9040.0,19698.0,0,0.0,E,14,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200211,64,16,48,0,1,0,0,0,4,9143.0,16434.0,0,0.0,E,14,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200215,131,27,104,0,0,0,0,0,0,9275.0,24852.0,0,0.0,E,14,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200221,24,5,19,0,0,0,0,0,0,8180.0,16435.0,0,0.0,E,15,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200226,34,13,21,1,0,4,4,0,0,8125.0,15008.0,0,0.0,E,15,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200233,33,11,22,0,0,0,0,0,0,7865.0,12688.0,0,0.0,E,16,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
