cell_id,nuc_area,nucGRint,cytoGRint,time,dex_conc,replica,unique_cell_id,CalcCytoArea,normGRcyt,normGRnuc
1734,7738.0,4393.27556047485,1382.073748372864,50,10,C,13018,13581.990204815294,4,14
1736,8179.0,4272.891811078604,1453.6536249069316,50,10,C,13020,14580.45898781532,5,13
1738,8590.0,5623.670372206056,1613.4621960177913,50,10,C,13022,15549.499753243814,6,20
1740,9361.0,4805.367865603504,1509.9862571841263,50,10,C,13024,17467.518593136516,5,16
1741,9368.0,5262.565307497002,1627.9342957182869,50,10,C,13025,17485.531201001795,6,19
1745,7947.0,4484.772826555223,1508.7556510798936,50,10,C,13029,14049.857056684888,5,14
1746,8106.0,4132.20915000632,1454.6169504178522,50,10,C,13030,14412.22636760065,5,12
1751,8098.0,5505.417638301033,1576.40833112131,50,10,C,13034,14393.861151859317,6,20
1753,7984.0,4685.957104631282,1559.966173508304,50,10,C,13036,14133.68575864727,6,15
1755,9136.0,4884.243004558089,1506.7251272476128,50,10,C,13037,16894.280350314464,5,17
1759,8252.0,4892.4117632057705,1421.5936679948363,50,10,C,13040,14749.86326086894,4,17
1764,9232.0,6404.740329484849,1655.6543753588198,50,10,C,13045,17137.50060550568,7,25
1768,8239.0,5777.929785126215,1551.1015652318783,50,10,C,13048,14719.609629843406,6,21
1773,8102.0,3029.529200231396,1975.9611111371528,120,1,C,13050,14403.042000821612,10,7
1775,9341.0,3898.542972698323,2211.696592232993,120,1,C,13052,17416.113362393255,12,11
1776,8328.0,4538.039767520008,2522.459953319118,120,1,C,13053,14927.474220763035,15,15
1778,8094.0,3487.163879397267,2320.284386033414,120,1,C,13054,14384.683820713768,13,9
1779,8151.0,3018.075377424969,2329.425642174372,120,1,C,13055,14515.792893424754,13,7
1783,8928.0,3339.410967700986,1893.1575433301423,120,1,C,13056,16374.254336617563,9,8
1784,7650.0,2940.848151128167,1939.616364702024,120,1,C,13057,13387.866812431852,9,6
1785,8695.0,2972.248809601056,1932.1915294890769,120,1,C,13058,15803.021015767805,9,6
1788,8842.0,2996.528739799459,1861.641725879847,120,1,C,13061,16162.02309590845,9,6
1789,7898.0,2681.4701351015924,1835.2597384024,120,1,C,13062,13939.303920091907,8,5
1790,7845.0,2986.66198877251,1820.750891941992,120,1,C,13063,13820.320328820613,8,6
1792,8111.0,2937.027393991127,1950.6215468255127,120,1,C,13065,14423.71177300424,9,6
1793,7533.0,2427.9628297320046,1494.4659421568665,120,1,C,13066,13132.40765204812,5,3
1794,8230.0,3136.232898216916,1909.132484221911,120,1,C,13067,14698.686574855286,9,7
1795,7851.0,1916.621166237201,1497.0313793391615,120,1,C,13068,13833.759168581844,5,1
1797,8309.0,2490.129841746771,1570.51656960807,120,1,C,13069,14882.952424679117,6,4
1801,7672.0,4196.617818919373,2332.210189696815,120,1,C,13071,13436.238039593001,13,13
1802,9136.0,2814.527261072991,1729.5610065387225,120,1,C,13072,16894.280350314464,7,5
1803,7526.0,2349.821083566708,1882.5135273379344,120,1,C,13073,13117.219191436792,9,3
1806,8084.0,3008.310965281381,1850.1103717406947,120,1,C,13075,14361.755883298141,8,7
1807,9048.0,3035.1704253594708,1875.4146344583617,120,1,C,13076,16673.108464994446,9,7
1809,7719.0,3619.551114423323,2104.184220218541,120,1,C,13078,13539.93307908691,11,10
1814,8051.0,3106.6956290529747,1878.7453271516745,120,1,C,13082,14286.249683012771,9,7
1818,8504.0,2661.017045000466,1876.4202199327103,120,1,C,13085,15343.659506102462,9,5
1819,8293.0,2586.373358634811,1822.4597661958744,120,1,C,13086,14845.52194766461,8,4
1821,8465.0,3215.1341286477145,2043.0267720701568,120,1,C,13087,15250.84926490954,10,8
1827,8766.0,3071.188231825523,1677.1363195156994,120,1,C,13090,15975.823386436434,7,7
1828,9001.0,3157.054348072677,1869.6954447235632,120,1,C,13091,16555.680088799596,9,7
1831,8565.0,3007.715778674351,1799.5697043392777,120,1,C,13092,15489.494826143915,8,7
1834,7839.0,2650.4765929066343,1813.0615989283945,120,1,C,13093,13806.889404147054,8,5
1836,7630.0,3082.3130355207195,1914.2327625126456,120,1,C,13095,13343.985312247582,9,7
1838,7966.0,3408.388785172823,2010.4978270531724,120,1,C,13096,14092.866631296429,10,9
1842,7564.0,3465.712651885522,2090.069731249602,120,1,C,13098,13199.800334384276,11,9
1844,8016.0,2869.5269860801795,1814.306210106849,120,1,C,13100,14206.428986997029,8,6
1846,7537.0,3502.1146645806657,2176.8484713954613,120,1,C,13102,13141.091609395471,12,9
1848,7928.0,3632.096344455081,2136.8820872160427,120,1,C,13104,14006.92685281361,11,10
1852,7707.0,3038.959538699861,2036.0851488513767,120,1,C,13107,13513.41157850967,10,7
1853,8464.0,2894.451673896566,1991.9465193388664,120,1,C,13108,15248.47391240629,10,6
1854,9129.0,2883.717036455339,1975.0779350006453,120,1,C,13109,16876.624800848596,10,6
1857,7697.0,3009.780882541163,1988.0787551055828,120,1,C,13112,13491.334513018744,10,7
1858,7676.0,2865.260713831664,2145.4451721296587,120,1,C,13113,13445.04424107217,11,6
1859,7548.0,2690.919946209956,1938.1549206035895,120,1,C,13114,13164.990630843267,9,5
1868,8991.0,3601.5195777920567,2071.04761959408,120,1,C,13119,16530.757989017806,11,10
1870,8358.0,3382.80260938774,2082.683425828065,120,1,C,13120,14997.933393233747,11,9
1873,9249.0,2745.208260060712,1905.4423692969767,120,1,C,13123,17180.78203796548,9,5
1877,8408.0,3382.288496151305,1870.2858815784152,120,1,C,13125,15115.805074444466,9,8
1881,8677.0,3698.9356482871062,1932.80058735918,120,1,C,13127,15759.38807474969,9,10
1882,7557.0,3979.168758978197,2618.7148443136507,120,1,C,13128,13184.564163383371,16,12
1884,8444.0,2914.110885988627,1886.1601823648828,120,1,C,13130,15201.013033686066,9,6
1890,7685.0,5277.737460813423,2941.116631461025,120,1,C,13134,13464.871056417765,19,19
1891,8261.0,4910.72550810443,2546.367625335581,120,1,C,13135,14770.829848839256,15,17
1894,7793.0,2771.147145863492,2267.3371416541117,120,1,C,13138,13704.181938451298,12,5
1898,9215.0,3142.5849207063484,1776.8759042161807,120,1,C,13142,17094.282713610806,8,7
1899,8037.0,3994.50596618545,2323.923505069862,120,1,C,13143,14254.289084665148,13,12
1900,8027.0,3263.6048914547987,1919.4344742242547,120,1,C,13144,14231.486469470989,9,8
1901,9263.0,3659.5712480344073,2104.813918074017,120,1,C,13145,17216.473280969007,11,10
1902,8339.0,3070.89156663463,1866.6537348346656,120,1,C,13146,14953.286274928361,9,7
1905,8722.0,2963.3602237244654,1930.411528364796,120,1,C,13149,15868.603994399433,9,6
1907,7836.0,3343.647917008975,2039.45723729554,120,1,C,13151,13800.17690996815,10,8
1910,7870.0,3064.272752426627,1890.8405358352056,120,1,C,13154,13876.367712084688,9,7
1914,7927.0,3119.7573035994674,1686.8919614718975,120,1,C,13157,14004.669567034796,7,7
1915,8257.0,3178.539943859282,2485.700512670808,120,1,C,13158,14761.509166661428,15,7
1919,7831.0,3687.420988729008,2632.5657759299747,120,1,C,13160,13788.993816940907,16,10
1921,7600.0,3530.3026511971,2640.000497108995,120,1,C,13162,13278.327959631004,16,9
1923,8361.0,3994.381292863413,2127.026885591934,120,1,C,13164,15004.990193726366,11,12
1932,8152.0,4347.238770753965,2617.750333102963,120,1,C,13170,14518.09942863797,16,14
1938,8501.0,2811.9944097576044,1860.6851929642671,120,1,C,13173,15336.508384148421,9,5
1939,8429.0,2472.5792933677344,1579.0245712469348,120,1,C,13174,15165.475088826834,6,4
1946,7954.0,1888.60852988982,1478.5369361166877,120,1,C,13180,14065.693455167559,5,1
1948,7704.0,3714.951838784232,2013.4074274624336,120,1,C,13181,13506.786150295155,10,10
1949,7534.0,2476.577462667944,1530.7071210628892,120,1,C,13182,13134.57831158964,5,4
1950,8025.0,2690.5961964850303,1856.3122714126305,120,1,C,13183,14226.928584794716,8,5
1951,7621.0,3495.222042092304,1911.141290388653,120,1,C,13184,13324.26732935747,9,9
1956,7833.0,3642.0393969792767,2562.1696660484067,120,1,C,13187,13793.466394561166,15,10
1957,7550.0,3295.8964072389244,2497.075886221422,120,1,C,13188,13169.338765696244,15,8
1958,8400.0,3033.860525922841,2400.034730096794,120,1,C,13189,15096.90866837495,14,7
1959,7995.0,3098.666078146853,1700.797153492208,120,1,C,13190,14158.665849152887,7,7
1964,7585.0,2162.6029928665635,1689.286228961041,120,1,C,13192,13245.573487269638,7,2
1965,7626.0,3629.6645511589263,2093.4946438150632,120,1,C,13193,13335.219565660957,11,10
1966,8323.0,2977.943264443065,1944.8041957155424,120,1,C,13194,14915.750263411564,9,6
1967,7634.0,3125.4893911080653,1864.7528999648805,120,1,C,13195,13352.75457665095,9,7
1972,8654.0,2993.856692177373,1902.6053295174024,120,1,C,13198,15703.7385379998,9,6
1981,7637.0,4478.331563113158,2308.3577207475387,120,1,C,13205,13359.333833520714,13,14
1989,8739.0,3856.547479857985,2443.4867834189263,120,1,C,13211,15909.97920991164,14,11
1991,7641.0,3753.9588401862416,2133.411412306732,120,1,C,13213,13368.109254103383,11,10
2004,7716.0,3976.397129448882,2556.3896811574573,120,1,C,13221,13533.299735784722,15,12
2006,8316.0,3965.277880307347,2655.520644293875,120,1,C,13222,14899.345957388452,16,12
2024,9180.0,4034.8902843331102,2503.6028121677514,120,1,C,13231,17005.50477671332,15,12
2026,8262.0,3123.868520903252,2072.887822054552,120,1,C,13233,14773.160569042577,11,7
2030,7721.0,3485.741004295321,2368.053070391285,120,1,C,13236,13544.356407272764,13,9
2032,7625.0,3501.196396536798,2251.851046611177,120,1,C,13238,13333.028678673167,12,9
2037,9001.0,4115.687774355544,2296.836037553956,120,1,C,13241,16555.680088799596,13,12
2046,8406.0,3193.6112531762237,2221.9166188601025,120,1,C,13246,15111.079653745808,12,7
2059,8077.0,2924.670023231301,2106.795822137285,120,1,C,13255,14345.719408988216,11,6
2060,7601.0,2897.073834987083,2049.0369776299744,120,1,C,13256,13280.513350030133,10,6
2062,8924.0,3066.419138747587,2012.360092038548,120,1,C,13258,16364.347058497851,10,7
2064,8179.0,3318.5226115885757,2204.058700700596,120,1,C,13260,14580.45898781532,12,8
2069,9207.0,2629.671490313244,1048.6131226098685,120,100,C,13264,17073.966868485506,1,4
2074,7827.0,2960.425799906299,1015.7373908708174,120,100,C,13268,13780.05130006295,0,6
2075,8188.0,2602.8642891187883,1023.6647631522568,120,100,C,13269,14601.281125435626,0,4
2080,9542.0,2890.665446299517,1044.5550197314872,120,100,C,13272,17936.735359204464,1,6
2096,8104.0,2766.509093107946,1063.299041656676,120,100,C,13284,14407.633744484037,1,5
2098,9196.0,3336.380221416018,1058.9559508521772,120,100,C,13286,17046.055557178825,1,8
2100,7799.0,3405.102325121051,1061.9911991108415,120,100,C,13287,13717.552180786042,1,9
2102,8339.0,3305.2509856867064,1094.505478810279,120,100,C,13289,14953.286274928361,1,8
2107,7569.0,3166.115679202076,1103.0417210009082,120,100,C,13293,13210.689909577028,1,7
2108,8347.0,3230.53473740904,1075.4897552710822,120,100,C,13294,14972.075387587216,1,8
2113,8244.0,3027.1151651918804,1029.406062829573,120,100,C,13296,14731.241244505374,0,7
2121,8690.0,3622.3235683686935,1118.861654121721,120,100,C,13302,15790.893608808623,1,10
2124,9562.0,3557.0823270443284,1082.3869028419128,120,100,C,13305,17989.024441404392,1,9
2128,9162.0,2536.9803061764896,1045.4508326868142,120,100,C,13309,16959.95242693483,1,4
2131,9252.0,2979.4561387250465,1096.0640103902158,120,100,C,13312,17188.426533717717,1,6
2134,7810.0,3174.183151800637,1063.9567507562567,120,100,C,13315,13742.084848974664,1,7
2136,7619.0,3149.410056782648,1056.446064800665,120,100,C,13317,13319.887973880901,1,7
2143,8745.0,2895.773820894557,1049.8923255047448,120,100,C,13321,15924.597397735948,1,6
2145,7989.0,2722.9898670445828,1036.8684222709826,120,100,C,13322,14145.037047287535,1,5
2152,7543.0,3007.2228041353183,1045.2253538712023,120,100,C,13327,13154.12414132289,1,6
2153,8260.0,2741.4944734498963,1095.0906431741926,120,100,C,13328,14768.49934849948,1,5
2156,7686.0,2932.2518964474807,1054.764327515392,120,100,C,13330,13467.075135218343,1,6
2160,9417.0,2684.557625177962,1030.996188194078,120,100,C,13333,17611.921108844464,0,5
2167,9556.0,2543.395358191463,1041.5724624292727,120,100,C,13337,17973.328482475463,1,4
2168,8011.0,3551.160349403946,1141.8556956996763,120,100,C,13338,14195.048016777995,2,9
2171,7729.0,2526.163899949497,1024.558080768177,120,100,C,13341,13562.058514558048,0,4
2172,9442.0,3636.073065484648,1130.7683073539322,120,100,C,13342,17676.609129483422,1,10
2175,7549.0,2793.3623084617293,1004.240893995923,120,100,C,13344,13167.164588337982,0,5
2176,8877.0,2531.3182834862214,1034.572392562461,120,100,C,13345,16248.200047051618,0,4
2179,7640.0,2445.3413504437176,1018.4068893594936,120,100,C,13346,13365.915069162395,0,4
2180,7701.0,2809.747851531178,1062.9351122082633,120,100,C,13347,13500.162700852557,1,5
2181,8805.0,2303.7361778646336,1014.1234427893152,120,100,C,13348,16071.214605800953,0,3
2190,9194.0,3991.6246026760577,1115.1172927642133,120,100,C,13355,17040.983631530988,1,12
2192,7952.0,3159.475190533934,1022.1941000441972,120,100,C,13357,14061.167670569062,0,7
2207,7924.0,3219.845929955777,1127.806281470777,120,100,C,13372,13997.899028879634,1,8
2210,8115.0,3494.718948821264,1089.8015557880944,120,100,C,13374,14432.904054870947,1,9
2212,7896.0,2887.99350635325,1033.2991176324026,120,100,C,13376,13934.802760210612,0,6
2217,7629.0,2976.841398496914,1017.0115455182092,120,100,C,13380,13341.793545805607,0,6
2218,9281.0,2328.587742709079,1019.247458382188,120,100,C,13381,17262.425342674913,0,3
2219,7703.0,2744.682408229654,1045.6617217290095,120,100,C,13382,13504.578113950742,1,5
2225,8679.0,2938.905625874883,1064.5402513920733,120,100,C,13385,15764.232661490514,1,6
2229,7937.0,3237.862041332467,1053.9375572227175,120,100,C,13388,14027.25231868252,1,8
2248,9096.0,3005.210998482153,1053.4770164943072,120,100,C,13402,16793.536606164427,1,6
