cell_id,nuc_area,nucGRint,cytoGRint,time,Dex_conc,replica,CalcCytoArea,normGRnuc,normGRcyt
2100,7807,4308.946174,3207.679678,60,1,A,13459.62837,11,20
2101,8979,4096.293065,3130.057282,60,1,A,16164.8111,10,20
2102,8335,3577.553146,3358.571384,60,1,A,14630.24019,7,20
2103,8491,3143.91882,2540.814727,60,1,A,14991.1985,4,15
2104,8558,5149.006523,3618.958541,60,1,A,15148.33921,16,20
2105,8228,4309.067249,3222.429856,60,1,A,14386.641,11,20
2106,7743,4068.322527,3250.453155,60,1,A,13323.09615,10,20
2107,7715,4135.035184,3464.734367,60,1,A,13263.72774,10,20
2108,8846,4079.237963,3267.73329,60,1,A,15838.27392,10,20
2109,8595,3671.122671,2969.982893,60,1,A,15235.6628,7,19
2110,8684,2747.347397,2498.079411,60,1,A,15447.2979,2,14
2111,9132,4551.314432,3224.902463,60,1,A,16546.64218,12,20
2112,8486,4528.009765,3474.258558,60,1,A,14979.52251,12,20
2113,8014,3784.075802,3062.779898,60,1,A,13909.16096,8,20
2114,8555,4525.781942,4204.98202,60,1,A,15141.27589,12,20
2115,8546,4160.089584,2992.918906,60,1,A,15120.10123,10,19
2116,7307,3904.553487,3539.685993,60,1,A,12423.81151,9,20
2117,7915,5432.149353,3419.658664,60,1,A,13692.65448,17,20
2118,9303,3564.334021,2909.739611,60,1,A,16981.23273,7,19
2119,7815,3865.259186,3111.706367,60,1,A,13476.77638,8,20
2120,7745,3627.178944,3272.36756,60,1,A,13327.34524,7,20
2121,7461,4589.61311,3646.348776,60,1,A,12735.30486,13,20
2122,7623,5239.819908,3766.165797,60,1,A,13070.22196,16,20
2123,8515,3909.104354,3346.264328,60,1,A,15047.34171,9,20
2124,8020,4274.257373,3655.665435,60,1,A,13922.37169,11,20
2125,7287,4330.365412,3200.021002,60,1,A,12383.85016,11,20
2126,8510,4517.123594,3483.804818,60,1,A,15035.63176,12,20
2127,9037,4734.629299,3334.831954,60,1,A,16308.778,13,20
