Cell_id,time,Dex_Conc,normgrnuc,normgrcyt
120,0,0,6,17
121,0,0,3,10
122,0,0,3,12
123,0,0,7,15
124,0,0,6,19
125,0,0,1,9
126,0,0,0,7
127,0,0,3,13
128,0,0,2,13
129,0,0,6,15
130,0,0,4,14
131,0,0,8,18
132,0,0,6,19
133,0,0,4,15
134,0,0,8,19
135,0,0,5,13
136,0,0,5,19
137,0,0,4,17
138,0,0,7,16
139,0,0,9,17
140,0,0,7,17
141,0,0,5,17
142,0,0,7,15
143,0,0,0,9
144,0,0,2,8
145,0,0,4,9
146,0,0,7,16
147,0,0,5,15
148,0,0,4,13
149,0,0,4,11
150,0,0,9,20
151,0,0,5,16
152,0,0,8,23
153,0,0,2,12
154,0,0,4,12
155,0,0,6,15
156,0,0,9,23
157,0,0,5,13
158,0,0,4,15
159,0,0,4,13
160,0,0,1,11
161,0,0,0,10
162,0,0,1,7
163,0,0,5,16
164,0,0,6,18
165,0,0,6,16
166,0,0,6,17
167,0,0,5,15
168,0,0,7,15
169,0,0,7,19
170,0,0,7,18
171,0,0,6,19
172,0,0,6,16
173,0,0,5,15
174,0,0,5,15
175,0,0,4,13
176,0,0,4,12
177,0,0,4,12
178,0,0,3,10
179,0,0,9,16
180,0,0,6,15
181,0,0,9,30
182,0,0,6,25
183,0,0,6,17
184,0,0,9,18
185,0,0,8,15
186,0,0,6,19
187,0,0,7,14
188,0,0,7,14
189,0,0,5,16
190,0,0,5,10
191,0,0,7,13
192,0,0,3,12
193,0,0,7,17
194,0,0,5,16
195,0,0,4,13
196,0,0,3,11
197,0,0,7,15
198,0,0,5,15
199,0,0,10,23
200,0,0,7,18
201,0,0,5,15
202,0,0,3,12
203,0,0,5,15
204,0,0,1,8
205,0,0,4,13
206,0,0,5,13
207,0,0,1,8
208,0,0,2,11
209,0,0,7,17
210,0,0,5,16
211,0,0,5,14
212,0,0,2,12
213,0,0,6,19
214,0,0,9,25
215,0,0,3,11
216,0,0,6,17
217,0,0,8,24
218,0,0,4,14
219,0,0,4,17
220,0,0,8,20
221,0,0,7,16
222,0,0,3,13
223,0,0,5,15
224,0,0,4,13
225,0,0,0,7
226,0,0,6,15
227,0,0,6,14
228,0,0,6,13
229,0,0,3,12
230,0,0,5,14
231,0,0,7,19
232,0,0,6,19
233,0,0,9,21
234,0,0,7,16
235,0,0,3,13
236,0,0,5,15
237,0,0,2,9
238,0,0,1,10
239,0,0,6,16
240,0,0,7,18
241,0,0,7,16
242,0,0,4,14
243,0,0,3,12
244,0,0,7,20
245,0,0,4,18
246,0,0,4,13
247,0,0,4,11
248,0,0,1,9
249,0,0,4,10
250,0,0,13,24
251,0,0,5,14
252,0,0,4,15
253,0,0,2,11
254,0,0,5,19
255,0,0,5,18
256,0,0,8,17
257,0,0,12,23
258,0,0,2,10
259,0,0,2,12
260,0,0,2,10
261,0,0,7,19
262,0,0,6,16
263,0,0,4,14
264,0,0,3,9
265,0,0,5,16
266,0,0,3,15
267,0,0,9,22
268,0,0,2,12
269,0,0,4,16
270,0,0,4,14
271,0,0,4,17
272,0,0,1,10
273,0,0,2,13
274,0,0,9,20
275,0,0,4,14
276,0,0,0,9
277,0,0,0,7
278,0,0,2,13
279,0,0,1,10
280,0,0,0,6
281,0,0,8,18
282,0,0,7,16
283,0,0,7,20
284,0,0,2,15
285,0,0,6,14
286,0,0,7,22
287,0,0,7,22
288,0,0,4,16
289,0,0,5,22
290,0,0,5,18
291,0,0,4,16
292,0,0,5,13
293,0,0,6,24
294,0,0,5,22
295,0,0,1,7
296,0,0,3,11
297,0,0,0,9
298,0,0,5,17
299,0,0,4,16
300,0,0,8,21
301,0,0,5,21
302,0,0,4,14
303,0,0,6,19
304,0,0,7,20
305,0,0,7,21
306,0,0,3,12
307,0,0,6,17
308,0,0,3,11
309,0,0,3,11
310,0,0,7,18
311,0,0,7,18
312,0,0,5,14
313,0,0,5,15
314,0,0,3,12
315,0,0,5,19
316,0,0,8,19
317,0,0,7,18
318,0,0,2,11
319,0,0,4,14
320,0,0,7,18
