time,exp1_s1,exp1_s2,exp1_s3,exp2_s1,exp2_s2,exp2_s3
17.9899497487437,2,0,1,2,0,2
17.9899497487437,2,0,2,2,0,1
17.9899497487437,2,0,1,2,0,0
17.9899497487437,2,0,0,2,0,0
17.9899497487437,2,0,1,2,0,0
17.9899497487437,2,0,0,2,0,0
17.9899497487437,2,0,0,2,0,1
17.9899497487437,2,0,0,2,0,1
17.9899497487437,2,0,1,2,0,1
17.9899497487437,2,0,0,2,0,1
17.9899497487437,2,0,1,2,0,1
17.9899497487437,2,0,0,2,0,0
17.9899497487437,2,0,1,2,0,2
17.9899497487437,2,0,2,2,0,1
17.9899497487437,2,0,0,2,0,2
17.9899497487437,2,0,0,2,0,1
17.9899497487437,2,0,0,2,0,0
17.9899497487437,2,0,0,2,0,1
17.9899497487437,2,0,0,2,0,0
17.9899497487437,2,0,0,2,0,0
17.9899497487437,2,0,0,2,0,2
17.9899497487437,2,0,0,2,0,0
17.9899497487437,2,0,1,2,0,2
17.9899497487437,2,0,1,2,0,0
17.9899497487437,2,0,2,2,0,0
17.9899497487437,2,0,1,2,0,0
17.9899497487437,2,0,0,2,0,1
17.9899497487437,2,0,1,2,0,0
17.9899497487437,2,0,0,2,0,0
17.9899497487437,2,0,0,2,0,0
17.9899497487437,2,0,1,2,0,0
17.9899497487437,2,0,1,2,0,1
17.9899497487437,2,0,1,2,0,0
17.9899497487437,2,0,0,2,0,1
17.9899497487437,2,0,2,2,0,1
17.9899497487437,2,0,0,2,0,2
17.9899497487437,2,0,0,2,0,1
17.9899497487437,2,0,0,2,0,1
17.9899497487437,2,0,1,2,0,1
17.9899497487437,2,0,2,2,0,0
17.9899497487437,2,0,1,2,0,0
17.9899497487437,2,0,1,2,0,1
17.9899497487437,2,0,0,2,0,2
17.9899497487437,2,0,0,2,0,0
17.9899497487437,2,0,1,2,0,1
17.9899497487437,2,0,1,2,0,0
17.9899497487437,2,0,0,2,0,1
17.9899497487437,2,0,2,2,0,1
17.9899497487437,2,0,0,2,0,0
17.9899497487437,2,0,0,2,0,1
17.9899497487437,2,0,0,2,0,1
17.9899497487437,2,0,0,2,0,0
17.9899497487437,2,0,0,2,0,0
17.9899497487437,2,0,1,2,0,2
17.9899497487437,2,0,0,2,0,1
17.9899497487437,2,0,1,2,0,0
17.9899497487437,2,0,0,2,0,0
17.9899497487437,2,0,0,2,0,2
17.9899497487437,2,0,0,2,0,0
17.9899497487437,2,0,1,2,0,1
17.9899497487437,2,0,0,2,0,0
17.9899497487437,2,0,0,2,0,1
17.9899497487437,2,0,2,2,0,2
17.9899497487437,2,0,2,2,0,0
17.9899497487437,2,0,2,2,0,1
17.9899497487437,2,0,0,2,0,0
17.9899497487437,2,0,0,2,0,0
17.9899497487437,2,0,1,2,0,1
17.9899497487437,2,0,1,2,0,1
17.9899497487437,2,0,0,2,0,0
17.9899497487437,2,0,1,2,0,1
17.9899497487437,2,0,1,2,0,0
17.9899497487437,2,0,1,2,0,2
17.9899497487437,2,0,0,2,0,0
17.9899497487437,2,0,0,2,0,0
17.9899497487437,2,0,0,2,0,2
17.9899497487437,2,0,1,2,0,0
17.9899497487437,2,0,0,2,0,1
17.9899497487437,2,0,0,2,0,1
17.9899497487437,2,0,1,2,0,1
17.9899497487437,2,0,0,2,0,2
17.9899497487437,2,0,1,2,0,1
17.9899497487437,2,0,1,2,0,1
17.9899497487437,2,0,1,2,0,0
17.9899497487437,2,0,1,2,0,1
17.9899497487437,2,0,1,2,0,0
17.9899497487437,2,0,2,2,0,1
17.9899497487437,2,0,0,2,0,1
17.9899497487437,2,0,0,2,0,1
17.9899497487437,2,0,2,2,0,1
17.9899497487437,2,0,0,2,0,1
17.9899497487437,2,0,1,2,0,2
17.9899497487437,2,0,2,2,0,0
17.9899497487437,2,0,0,2,0,0
17.9899497487437,2,0,1,2,0,0
17.9899497487437,2,0,1,2,0,0
17.9899497487437,2,0,0,2,0,0
17.9899497487437,2,0,0,2,0,1
17.9899497487437,2,0,1,2,0,2
17.9899497487437,2,0,0,2,0,0
17.9899497487437,2,0,0,2,0,0
17.9899497487437,2,0,0,2,0,0
17.9899497487437,2,0,2,2,0,0
17.9899497487437,2,0,1,2,0,1
17.9899497487437,2,0,1,2,0,0
17.9899497487437,2,0,0,2,0,2
17.9899497487437,2,0,0,2,0,1
17.9899497487437,2,0,0,2,0,0
17.9899497487437,2,0,1,2,0,0
17.9899497487437,2,0,1,2,0,0
17.9899497487437,2,0,1,2,0,0
17.9899497487437,2,0,0,2,0,1
17.9899497487437,2,0,1,2,0,0
17.9899497487437,2,0,2,2,0,0
17.9899497487437,2,0,2,2,0,0
17.9899497487437,2,0,0,2,0,2
17.9899497487437,2,0,0,2,0,2
17.9899497487437,2,0,1,2,0,1
17.9899497487437,2,0,1,2,0,1
17.9899497487437,2,0,0,2,0,1
17.9899497487437,2,0,0,2,0,0
17.9899497487437,2,0,1,2,0,0
17.9899497487437,2,0,0,2,0,0
17.9899497487437,2,0,0,2,0,1
18.0904522613065,2,0,1,2,0,0
18.0904522613065,2,0,1,2,0,1
18.0904522613065,2,0,1,2,0,1
18.0904522613065,2,0,1,2,0,1
18.0904522613065,2,0,0,2,0,0
18.0904522613065,2,0,2,2,0,0
18.0904522613065,2,0,1,2,0,0
18.0904522613065,2,0,2,2,0,1
18.0904522613065,2,0,0,2,0,0
18.0904522613065,2,0,1,2,0,0
18.0904522613065,2,0,1,2,0,0
18.0904522613065,2,0,0,2,0,0
18.0904522613065,2,0,0,2,0,0
18.0904522613065,2,0,0,2,0,1
18.0904522613065,2,0,2,2,0,0
18.0904522613065,2,0,0,2,0,2
18.0904522613065,2,0,2,2,0,1
18.0904522613065,2,0,0,2,0,1
18.0904522613065,2,0,0,2,0,1
18.0904522613065,2,0,0,2,0,1
18.0904522613065,2,0,0,2,0,1
18.0904522613065,2,0,0,2,0,2
18.0904522613065,2,0,0,2,0,0
18.0904522613065,2,0,0,2,0,0
18.0904522613065,2,0,0,2,0,0
18.0904522613065,2,0,1,2,0,1
18.0904522613065,2,0,0,2,0,1
18.0904522613065,2,0,0,2,0,1
18.0904522613065,2,0,0,2,0,0
18.0904522613065,2,0,0,2,0,1
18.0904522613065,2,0,1,2,0,0
18.0904522613065,2,0,0,2,0,1
18.0904522613065,2,0,1,2,0,0
18.0904522613065,2,0,0,2,0,1
18.0904522613065,2,0,1,2,0,0
18.0904522613065,2,0,2,2,0,0
18.0904522613065,2,0,0,2,0,1
18.0904522613065,2,0,0,2,0,1
18.0904522613065,2,0,0,2,0,1
18.0904522613065,2,0,1,2,0,1
18.0904522613065,2,0,2,2,0,0
18.0904522613065,2,0,0,2,0,0
18.0904522613065,2,0,0,2,0,0
18.0904522613065,2,0,1,2,0,1
18.0904522613065,2,0,1,2,0,1
18.0904522613065,2,0,2,2,0,1
18.0904522613065,2,0,0,2,0,1
18.0904522613065,2,0,1,2,0,2
18.0904522613065,2,0,0,2,0,1
18.0904522613065,2,0,0,2,0,0
18.0904522613065,2,0,2,2,0,1
18.0904522613065,2,0,0,2,0,1
18.0904522613065,2,0,1,2,0,0
18.0904522613065,2,0,1,2,0,0
18.0904522613065,2,0,1,2,0,1
18.0904522613065,2,0,1,2,0,0
18.0904522613065,2,0,0,2,0,1
18.0904522613065,2,0,0,2,0,2
18.0904522613065,2,0,2,2,0,0
18.0904522613065,2,0,1,2,0,1
18.0904522613065,2,0,0,2,0,1
18.0904522613065,2,0,1,2,0,1
18.0904522613065,2,0,2,2,0,0
18.0904522613065,2,0,0,2,0,2
18.0904522613065,2,0,0,2,0,0
18.0904522613065,2,0,1,2,0,1
18.0904522613065,2,0,0,2,0,1
18.0904522613065,2,0,0,2,0,0
18.0904522613065,2,0,0,2,0,1
18.0904522613065,2,0,1,2,0,0
18.0904522613065,2,0,0,2,0,0
18.0904522613065,2,0,0,2,0,2
18.0904522613065,2,0,1,2,0,1
18.0904522613065,2,0,0,2,0,0
18.0904522613065,2,0,0,2,0,2
18.0904522613065,2,0,1,2,0,1
18.0904522613065,2,0,1,2,0,0
18.0904522613065,2,0,1,2,0,2
18.0904522613065,2,0,1,2,0,0
18.0904522613065,2,0,0,2,0,0
18.0904522613065,2,0,1,2,0,0
18.0904522613065,2,0,1,2,0,0
18.0904522613065,2,0,1,2,0,0
18.0904522613065,2,0,0,2,0,0
18.0904522613065,2,0,1,2,0,2
18.0904522613065,2,0,2,2,0,0
18.0904522613065,2,0,1,2,0,0
18.0904522613065,2,0,2,2,0,0
18.0904522613065,2,0,1,2,0,0
