0min,1min,2min,4min,6min,8min,10min,15min,20min,25min,30min,35min,40min,45min,50min,55min,60min
0,0,0,NaN,2,9,21,76,134,NaN,6,24,43,NaN,65,16,64
0,0,0,NaN,0,2,1,13,71,NaN,133,103,28,NaN,0,5,1
0,0,0,NaN,1,9,7,57,34,NaN,116,114,48,NaN,17,13,61
3,2,0,NaN,4,1,8,42,65,NaN,115,75,59,NaN,23,29,3
0,2,0,NaN,19,19,18,33,84,NaN,31,77,94,NaN,2,3,23
0,0,0,NaN,6,2,15,94,91,NaN,124,90,36,NaN,4,26,9
1,0,1,NaN,1,13,20,68,90,NaN,73,88,27,NaN,127,5,4
0,0,0,NaN,0,9,13,30,71,NaN,94,104,91,NaN,1,37,29
0,1,0,NaN,18,18,22,73,73,NaN,33,80,71,NaN,47,26,15
1,0,0,NaN,2,13,29,75,102,NaN,108,40,106,NaN,16,31,7
0,0,0,NaN,1,18,38,31,87,NaN,159,85,23,NaN,59,2,37
8,2,0,NaN,1,15,0,87,130,NaN,42,44,89,NaN,54,2,6
0,0,0,NaN,1,10,34,7,26,NaN,86,89,1,NaN,30,6,77
1,2,0,NaN,4,2,58,50,40,NaN,33,102,50,NaN,0,21,9
0,0,18,NaN,5,26,5,31,56,NaN,83,27,1,NaN,57,26,1
0,0,0,NaN,1,11,37,10,122,NaN,104,18,130,NaN,71,9,6
3,0,1,NaN,6,2,2,0,38,NaN,33,94,0,NaN,4,1,5
0,0,0,NaN,2,1,49,35,33,NaN,2,34,0,NaN,39,39,86
0,0,1,NaN,0,1,50,41,34,NaN,92,65,60,NaN,12,57,29
1,2,0,NaN,3,0,1,40,24,NaN,125,90,83,NaN,61,65,4
3,0,0,NaN,2,23,37,37,60,NaN,112,60,87,NaN,51,0,1
0,2,0,NaN,1,13,0,23,148,NaN,0,86,42,NaN,35,34,10
0,0,0,NaN,1,27,0,15,172,NaN,16,112,87,NaN,1,4,1
0,0,0,NaN,17,0,0,55,40,NaN,49,85,73,NaN,30,66,2
0,0,0,NaN,0,1,20,27,23,NaN,84,66,18,NaN,0,6,8
1,0,0,NaN,0,7,23,38,16,NaN,49,58,164,NaN,73,51,27
0,2,0,NaN,0,0,10,26,64,NaN,110,25,143,NaN,13,8,2
0,0,0,NaN,0,0,1,16,49,NaN,28,34,44,NaN,15,0,1
0,0,0,NaN,1,21,30,22,141,NaN,94,70,48,NaN,1,1,1
0,0,0,NaN,0,5,11,13,80,NaN,73,37,200,NaN,0,0,0
0,0,0,NaN,0,6,29,41,114,NaN,48,157,20,NaN,16,82,4
0,1,0,NaN,17,0,46,41,9,NaN,25,100,0,NaN,13,9,27
0,2,0,NaN,3,9,21,23,21,NaN,69,11,51,NaN,3,0,35
0,0,0,NaN,0,0,20,74,86,NaN,70,112,38,NaN,23,48,10
0,2,0,NaN,0,1,34,20,134,NaN,77,102,37,NaN,2,14,0
0,0,0,NaN,1,2,16,23,67,NaN,38,26,45,NaN,75,17,13
0,0,2,NaN,0,8,1,18,22,NaN,139,77,153,NaN,68,14,1
1,0,0,NaN,0,8,14,24,28,NaN,124,20,43,NaN,94,51,15
2,0,0,NaN,0,1,16,15,76,NaN,67,37,67,NaN,3,5,67
0,0,1,NaN,0,6,24,86,91,NaN,105,88,86,NaN,25,13,3
1,0,0,NaN,0,20,4,38,32,NaN,148,61,156,NaN,12,1,15
1,0,0,NaN,0,1,14,8,43,NaN,78,19,144,NaN,27,12,19
0,0,0,NaN,3,5,9,77,53,NaN,178,111,33,NaN,2,18,6
1,0,0,NaN,1,25,34,29,105,NaN,46,45,28,NaN,37,16,9
0,0,0,NaN,0,1,66,31,57,NaN,29,115,35,NaN,23,23,4
1,0,0,NaN,11,15,41,59,43,NaN,115,67,11,NaN,98,67,61
1,0,3,NaN,0,19,2,52,29,NaN,22,110,119,NaN,59,70,3
0,3,1,NaN,1,1,29,7,63,NaN,102,112,140,NaN,3,7,4
0,0,0,NaN,1,2,12,36,1,NaN,52,101,36,NaN,24,25,56
0,1,0,NaN,1,22,28,73,89,NaN,114,139,51,NaN,125,14,31
0,1,0,NaN,1,1,27,96,112,NaN,86,5,23,NaN,5,44,4
0,1,0,NaN,16,17,10,19,68,NaN,93,68,106,NaN,11,17,0
0,0,0,NaN,0,41,12,48,121,NaN,145,54,53,NaN,114,0,3
0,0,0,NaN,0,1,24,12,67,NaN,75,83,103,NaN,99,20,1
0,3,0,NaN,0,8,49,5,15,NaN,31,94,56,NaN,100,23,0
1,0,0,NaN,1,1,18,44,73,NaN,115,14,29,NaN,9,3,23
0,0,0,NaN,1,21,3,33,79,NaN,36,11,29,NaN,6,70,2
0,0,0,NaN,0,12,32,16,135,NaN,150,99,20,NaN,84,0,1
1,0,0,NaN,0,8,28,50,37,NaN,161,18,14,NaN,1,2,1
0,4,0,NaN,5,34,1,50,51,NaN,107,189,95,NaN,29,0,2
1,0,0,NaN,0,20,42,82,63,NaN,57,87,2,NaN,0,58,6
0,0,0,NaN,13,5,21,59,98,NaN,63,33,33,NaN,0,8,14
