0min,NaNmin,2min,4min,6min,8min,10min,15min,20min,25min,30min,35min,40min,45min,50min,55min,NaNmin
0,NaN,0,0,0,0,23,12,61,64,92,160,57,40,1,8,NaN
1,NaN,1,0,1,11,15,81,171,136,46,68,0,0,11,31,NaN
0,NaN,0,0,0,23,53,6,104,105,88,154,25,30,4,19,NaN
0,NaN,0,0,0,18,11,82,36,67,13,51,22,0,0,43,NaN
0,NaN,0,0,0,40,6,25,82,95,103,4,79,50,18,78,NaN
0,NaN,0,1,0,1,2,84,44,126,138,57,77,10,37,0,NaN
0,NaN,0,1,35,11,3,5,10,89,83,91,86,19,19,13,NaN
0,NaN,0,2,3,54,11,28,119,60,67,163,34,5,1,1,NaN
0,NaN,0,0,1,10,18,44,62,1,99,100,56,66,9,1,NaN
0,NaN,0,0,2,1,34,33,160,28,134,67,15,25,10,66,NaN
0,NaN,0,0,0,2,1,9,53,25,165,65,92,26,0,121,NaN
0,NaN,0,0,1,14,64,59,41,39,39,93,76,4,18,1,NaN
0,NaN,0,0,0,40,1,16,99,199,54,14,164,272,1,0,NaN
1,NaN,1,1,0,51,25,46,46,112,9,17,15,11,3,4,NaN
1,NaN,0,0,2,18,9,1,74,0,29,5,93,19,0,2,NaN
0,NaN,0,0,1,38,66,34,21,123,122,0,7,55,6,83,NaN
1,NaN,0,0,1,30,1,35,85,65,24,131,28,8,8,14,NaN
0,NaN,0,0,0,0,17,61,42,110,23,102,20,33,3,11,NaN
0,NaN,0,0,0,34,65,28,63,47,38,23,24,2,1,39,NaN
0,NaN,0,0,1,3,0,34,28,29,78,127,24,9,0,0,NaN
0,NaN,1,1,9,57,0,23,28,21,72,114,58,9,1,1,NaN
0,NaN,0,0,3,0,4,22,37,99,16,30,10,62,24,25,NaN
0,NaN,1,0,0,13,49,86,158,108,60,104,12,8,87,0,NaN
1,NaN,0,1,3,0,23,26,35,64,3,17,11,6,5,34,NaN
1,NaN,1,0,4,16,2,5,14,6,22,24,82,7,90,3,NaN
0,NaN,1,0,9,2,0,25,72,27,43,104,34,46,28,6,NaN
0,NaN,0,0,0,23,1,51,37,1,227,47,87,42,0,73,NaN
0,NaN,0,0,4,2,43,89,32,58,24,59,19,9,4,21,NaN
0,NaN,0,0,2,3,47,32,101,50,120,111,108,0,2,3,NaN
1,NaN,1,0,0,28,40,30,20,1,77,94,18,26,49,1,NaN
1,NaN,2,0,0,2,38,21,135,148,63,50,67,22,6,0,NaN
0,NaN,0,0,2,1,52,34,23,26,3,44,5,67,27,14,NaN
0,NaN,1,0,0,15,30,23,37,217,74,180,50,39,0,88,NaN
0,NaN,0,0,0,0,0,91,107,202,32,116,184,18,2,5,NaN
0,NaN,0,0,0,2,5,67,117,70,16,66,94,81,7,7,NaN
0,NaN,0,1,2,54,39,24,71,46,39,8,209,1,1,50,NaN
0,NaN,1,0,8,55,34,8,108,45,109,125,0,1,4,21,NaN
0,NaN,0,2,0,0,9,10,114,154,83,108,4,1,0,5,NaN
0,NaN,1,0,0,1,1,48,136,59,61,42,30,75,3,3,NaN
0,NaN,0,1,21,1,6,36,16,112,51,25,24,6,5,120,NaN
0,NaN,0,0,1,20,39,46,120,142,97,26,1,17,22,3,NaN
0,NaN,0,0,8,9,19,58,35,151,103,111,14,0,17,1,NaN
0,NaN,0,0,4,1,55,41,91,141,18,77,170,16,0,60,NaN
0,NaN,0,0,0,10,10,69,78,83,61,35,43,10,3,42,NaN
0,NaN,0,0,9,49,3,32,67,86,63,63,65,63,0,40,NaN
0,NaN,0,0,13,7,29,31,50,100,101,4,126,29,19,95,NaN
0,NaN,2,0,0,53,35,6,80,123,126,34,16,20,0,29,NaN
0,NaN,2,0,1,1,73,72,69,52,0,31,119,28,0,25,NaN
0,NaN,2,0,0,1,92,61,79,98,1,21,58,34,0,7,NaN
