0min,1min,2min,4min,6min,8min,10min,15min,20min,25min,30min,35min,40min,45min,50min,55min,NaNmin
0,0,0,1,0,36,0,13,52,0,2,1,10,5,24,15,NaN
4,1,0,1,0,2,37,1,0,1,17,4,24,0,11,2,NaN
0,0,0,2,0,14,43,3,46,1,11,17,0,0,1,0,NaN
0,0,0,0,1,2,61,23,22,47,4,2,0,3,55,13,NaN
0,0,0,0,1,1,10,0,24,50,13,1,0,4,3,2,NaN
0,1,1,1,0,0,36,86,17,23,25,6,12,8,1,12,NaN
0,2,1,1,1,0,11,5,62,3,8,1,0,5,0,9,NaN
0,1,0,2,1,15,51,29,7,13,33,8,0,0,15,21,NaN
1,0,9,1,0,10,15,0,46,5,1,56,0,9,19,6,NaN
0,1,0,0,0,2,0,0,1,1,2,6,6,11,18,50,NaN
0,0,0,0,0,14,0,0,15,20,36,0,0,0,0,3,NaN
0,0,0,0,1,31,2,30,5,54,9,1,5,20,1,10,NaN
1,0,0,1,0,0,0,22,20,67,8,4,0,21,1,0,NaN
0,1,0,0,0,50,0,9,40,11,2,4,4,7,1,2,NaN
0,1,0,0,3,0,0,34,0,11,20,2,1,6,0,0,NaN
0,2,1,0,1,15,2,54,23,9,3,4,2,12,0,0,NaN
0,3,0,1,1,29,17,15,28,12,14,3,2,4,4,1,NaN
0,1,0,0,1,66,2,0,20,17,27,7,5,5,0,0,NaN
0,0,0,0,0,0,11,1,30,19,2,18,1,0,1,38,NaN
0,0,1,0,1,13,11,1,5,0,0,12,15,3,0,2,NaN
0,0,0,0,0,20,1,5,44,31,9,19,0,5,13,11,NaN
0,0,0,0,0,5,0,16,10,9,31,17,3,3,25,0,NaN
1,0,2,0,0,54,0,0,0,3,39,18,10,2,3,0,NaN
0,0,0,0,0,38,17,19,20,15,7,1,9,0,8,21,NaN
4,0,0,0,0,92,26,23,76,14,6,51,3,1,0,0,NaN
1,0,1,1,0,28,24,17,32,15,0,16,9,11,40,0,NaN
0,1,0,0,1,13,1,46,45,24,6,8,13,1,24,1,NaN
2,0,0,3,2,0,2,3,19,76,5,3,2,18,37,0,NaN
1,0,0,1,0,59,20,3,47,1,12,21,3,0,25,14,NaN
0,0,0,0,0,8,5,68,45,1,14,3,18,6,8,3,NaN
2,0,0,1,0,8,7,24,1,9,0,0,1,4,5,1,NaN
0,0,0,0,0,1,73,20,75,23,14,5,1,0,0,3,NaN
0,0,0,0,0,6,0,9,7,43,7,3,5,3,12,1,NaN
0,5,0,0,3,19,10,10,84,7,63,16,1,3,21,0,NaN
0,0,0,1,0,0,0,21,0,16,19,14,0,4,1,19,NaN
0,3,2,1,0,39,0,0,7,10,18,2,10,10,0,0,NaN
1,0,0,0,0,13,1,11,20,10,5,0,1,25,3,0,NaN
0,0,0,9,1,25,17,3,36,39,52,25,9,0,4,1,NaN
0,1,1,0,0,0,43,14,25,19,3,1,30,5,2,50,NaN
