0min,1min,2min,4min,6min,8min,10min,15min,20min,25min,30min,35min,40min,45min,50min,55min,60min
0,0,0,NaN,0,0,10,28,74,NaN,47,43,4,NaN,0,0,0
0,0,0,NaN,1,0,6,49,48,NaN,41,1,4,NaN,1,0,0
0,0,0,NaN,1,1,1,6,23,NaN,67,9,18,NaN,0,0,0
0,0,0,NaN,0,1,14,9,73,NaN,89,9,5,NaN,2,0,0
0,0,0,NaN,0,5,29,10,46,NaN,65,26,16,NaN,0,0,0
0,0,0,NaN,0,0,22,3,29,NaN,33,21,0,NaN,0,0,0
0,0,0,NaN,0,0,0,37,12,NaN,31,18,1,NaN,0,0,0
0,0,0,NaN,1,4,14,28,71,NaN,0,6,0,NaN,0,1,0
0,0,0,NaN,0,0,24,29,82,NaN,67,19,0,NaN,0,0,0
0,0,0,NaN,0,0,0,44,31,NaN,91,0,0,NaN,0,0,0
0,0,0,NaN,8,0,1,25,38,NaN,76,16,0,NaN,0,0,0
0,0,0,NaN,0,6,3,22,39,NaN,24,26,0,NaN,0,0,0
0,0,0,NaN,4,10,11,25,40,NaN,36,12,0,NaN,0,0,0
0,0,0,NaN,0,11,23,43,108,NaN,0,13,7,NaN,0,0,0
0,0,0,NaN,0,1,0,11,131,NaN,28,49,19,NaN,0,0,0
0,0,0,NaN,0,5,35,0,54,NaN,1,22,0,NaN,0,0,0
0,0,0,NaN,0,6,33,0,0,NaN,80,11,2,NaN,0,0,0
0,0,0,NaN,0,0,9,51,23,NaN,76,4,1,NaN,0,0,0
0,0,0,NaN,0,6,3,0,43,NaN,30,19,6,NaN,0,0,0
0,0,0,NaN,5,0,12,43,77,NaN,61,42,1,NaN,0,0,0
0,0,0,NaN,0,8,0,61,82,NaN,51,22,0,NaN,0,5,0
0,0,0,NaN,3,0,0,29,13,NaN,38,9,7,NaN,0,0,2
0,0,0,NaN,0,1,31,43,21,NaN,34,10,14,NaN,0,0,0
0,0,0,NaN,0,0,14,66,0,NaN,51,27,8,NaN,0,0,0
0,0,0,NaN,0,2,0,26,145,NaN,32,11,0,NaN,0,0,0
0,0,0,NaN,1,7,2,41,5,NaN,12,20,12,NaN,0,0,2
0,0,0,NaN,0,0,23,15,31,NaN,32,0,0,NaN,0,0,0
0,0,0,NaN,0,2,29,33,11,NaN,8,7,5,NaN,0,0,3
0,0,0,NaN,0,5,42,44,66,NaN,4,2,4,NaN,0,0,0
