CellNum,number_spots_type_0,number_spots_type_1,number_spots_type_0_only,number_spots_type_1_only,number_spots_type_0_1_both,nDoubleSpots0,nDoubleSpots1,total_spots,numberTS0,numberTS1,tsIntensities0_1,tsIntensities0_2,tsIntensities0_3,tsIntensities0_4,tsIntensities1_1,tsIntensities1_2,tsIntensities1_3,tsIntensities1_4,time,sumNascent
115,50,0,50,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0
116,38,0,38,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0
117,176,0,176,0,0,2,0,176,0,0,0,0,0,0,0,0,0,0,0,0
118,484,410,239,167,243,10,14,649,3,2,166,6,5,0,128,8,0,0,0,172
119,114,0,114,0,0,2,0,114,0,0,0,0,0,0,0,0,0,0,0,0
120,260,222,149,111,111,12,6,371,1,1,60,0,0,0,41,0,0,0,0,60
121,156,135,95,74,61,0,2,230,1,1,6,0,0,0,8,0,0,0,0,8
122,202,207,121,129,78,0,0,328,1,1,114,0,0,0,66,0,0,0,0,114
123,119,0,119,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0
124,147,0,147,0,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0
125,180,138,119,75,61,0,2,255,1,2,85,0,0,0,37,11,0,0,0,85
126,114,0,114,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0
127,283,222,149,91,131,6,2,371,2,1,109,7,0,0,86,0,0,0,0,116
128,319,272,140,93,179,2,2,412,1,1,98,0,0,0,67,0,0,0,0,98
129,405,324,205,125,199,8,10,529,2,1,73,5,0,0,56,0,0,0,0,78
130,369,272,222,127,145,18,6,494,1,2,91,0,0,0,50,6,0,0,0,91
131,55,0,55,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0
132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,0,82,0,82,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0
134,48,0,48,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0
135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,214,176,157,119,57,0,0,333,1,1,29,0,0,0,20,0,0,0,0,29
138,286,262,79,61,201,0,4,341,1,1,76,0,0,0,72,0,0,0,0,76
139,207,206,82,78,125,2,0,285,1,1,29,0,0,0,27,0,0,0,0,29
140,289,356,158,223,131,2,8,512,1,2,53,0,0,0,59,6,0,0,0,65
141,280,264,106,86,174,4,8,366,1,1,23,0,0,0,31,0,0,0,0,31
142,279,263,119,106,157,14,6,382,3,1,81,12,5,0,96,0,0,0,0,96
143,119,205,38,125,80,0,2,243,1,1,17,0,0,0,26,0,0,0,0,26
144,169,0,169,0,0,0,0,169,1,0,6,0,0,0,0,0,0,0,0,6
145,547,466,289,209,257,8,12,755,1,1,76,0,0,0,87,0,0,0,0,87
146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,61,0,61,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0
148,235,219,114,96,121,4,0,331,1,1,7,0,0,0,5,0,0,0,0,7
149,238,205,114,81,124,6,4,319,1,2,37,0,0,0,16,5,0,0,0,37
150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,69,57,45,33,24,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0
153,57,0,57,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0
154,165,172,118,126,46,0,2,290,1,1,29,0,0,0,16,0,0,0,0,29
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
3,168,247,71,149,97,2,0,317,0,0,0,0,0,0,0,0,0,0,18,0
4,186,250,93,158,92,6,2,343,0,0,0,0,0,0,0,0,0,0,18,0
5,62,144,34,115,28,0,2,177,1,1,6,0,0,0,15,0,0,0,18,15
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
8,35,118,23,105,12,0,6,140,0,1,0,0,0,0,23,0,0,0,18,23
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
11,14,317,4,306,10,0,8,320,1,2,27,0,0,0,97,12,0,0,18,109
12,0,154,0,154,0,0,0,154,0,0,0,0,0,0,0,0,0,0,18,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
14,7,216,1,210,6,0,6,217,1,1,5,0,0,0,18,0,0,0,18,18
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
17,147,152,67,73,79,2,0,219,0,0,0,0,0,0,0,0,0,0,18,0
