Cell_id,time,Dex_Conc,normgrnuc,normgrcyt
267,0,100.0,3.0,11.0
268,0,100.0,2.0,9.0
269,0,100.0,3.0,11.0
270,0,1.0,1.0,7.0
271,0,100.0,4.0,12.0
272,0,10.0,2.0,10.0
273,0,10.0,2.0,7.0
274,0,100.0,2.0,9.0
275,0,1.0,0.0,6.0
276,0,10.0,4.0,8.0
277,0,10.0,4.0,13.0
278,0,1.0,3.0,8.0
279,0,1.0,2.0,10.0
280,0,1.0,2.0,7.0
281,0,100.0,3.0,13.0
282,0,1.0,2.0,9.0
283,0,100.0,0.0,7.0
284,0,100.0,2.0,11.0
285,0,1.0,0.0,4.0
286,0,10.0,3.0,9.0
287,0,1.0,1.0,7.0
288,0,100.0,0.0,8.0
289,0,10.0,3.0,10.0
290,0,100.0,2.0,9.0
291,0,10.0,6.0,13.0
292,0,100.0,2.0,9.0
293,0,10.0,2.0,9.0
294,0,100.0,4.0,11.0
295,0,10.0,1.0,7.0
296,0,10.0,0.0,6.0
297,0,10.0,0.0,6.0
298,0,100.0,1.0,6.0
299,0,1.0,1.0,10.0
300,0,1.0,3.0,11.0
301,0,100.0,2.0,9.0
302,0,1.0,2.0,9.0
303,10,1.0,3.0,11.0
304,10,1.0,6.0,13.0
305,10,1.0,4.0,11.0
306,10,1.0,3.0,11.0
307,10,1.0,2.0,10.0
308,10,1.0,3.0,10.0
309,10,1.0,1.0,7.0
310,10,1.0,2.0,11.0
311,10,1.0,4.0,11.0
312,10,1.0,2.0,7.0
313,10,1.0,4.0,8.0
314,10,1.0,5.0,13.0
315,10,1.0,1.0,8.0
316,10,1.0,7.0,12.0
317,10,1.0,4.0,8.0
318,10,1.0,6.0,15.0
319,10,1.0,1.0,8.0
320,10,1.0,2.0,9.0
321,10,1.0,2.0,9.0
322,10,1.0,2.0,10.0
323,10,1.0,3.0,10.0
324,10,1.0,2.0,9.0
325,10,1.0,4.0,11.0
326,10,1.0,3.0,9.0
327,10,1.0,3.0,12.0
328,10,1.0,4.0,12.0
329,10,1.0,4.0,9.0
330,10,1.0,1.0,10.0
331,10,1.0,4.0,11.0
332,10,1.0,2.0,8.0
333,10,1.0,0.0,6.0
334,10,1.0,0.0,3.0
335,10,1.0,2.0,9.0
336,10,1.0,2.0,7.0
337,10,1.0,3.0,13.0
338,10,1.0,3.0,9.0
339,10,1.0,2.0,8.0
340,10,1.0,2.0,7.0
341,10,1.0,0.0,4.0
342,10,1.0,2.0,7.0
343,10,1.0,2.0,6.0
344,10,1.0,2.0,9.0
345,10,1.0,5.0,13.0
346,10,1.0,5.0,13.0
347,10,1.0,2.0,9.0
348,10,1.0,5.0,12.0
349,10,1.0,3.0,10.0
350,10,1.0,3.0,7.0
351,10,1.0,2.0,11.0
352,10,1.0,0.0,5.0
353,10,1.0,2.0,9.0
354,10,1.0,3.0,8.0
355,10,1.0,1.0,7.0
356,10,1.0,1.0,9.0
357,10,1.0,3.0,9.0
358,10,1.0,1.0,6.0
359,10,1.0,2.0,7.0
360,10,1.0,2.0,8.0
361,10,1.0,1.0,8.0
362,10,1.0,3.0,8.0
363,10,1.0,2.0,10.0
364,10,1.0,2.0,8.0
365,10,1.0,4.0,12.0
366,10,1.0,4.0,12.0
367,10,1.0,1.0,8.0
368,10,1.0,3.0,8.0
369,10,1.0,2.0,7.0
370,10,1.0,3.0,8.0
371,10,1.0,3.0,8.0
372,10,1.0,1.0,8.0
373,10,1.0,0.0,5.0
374,10,1.0,0.0,6.0
375,10,1.0,0.0,5.0
376,10,1.0,2.0,10.0
377,10,1.0,4.0,11.0
378,10,1.0,5.0,15.0
379,10,1.0,0.0,7.0
380,10,1.0,1.0,8.0
381,10,1.0,2.0,6.0
382,10,1.0,3.0,11.0
383,10,1.0,6.0,14.0
384,10,1.0,5.0,11.0
385,10,1.0,3.0,10.0
386,10,1.0,3.0,9.0
387,10,1.0,4.0,11.0
388,10,1.0,2.0,7.0
389,10,1.0,2.0,9.0
390,10,1.0,3.0,10.0
391,10,1.0,3.0,11.0
392,10,1.0,6.0,15.0
393,10,1.0,1.0,6.0
394,10,1.0,4.0,13.0
395,10,1.0,0.0,6.0
396,10,1.0,2.0,8.0
397,10,1.0,4.0,10.0
398,10,1.0,2.0,8.0
399,10,1.0,2.0,10.0
400,10,1.0,1.0,7.0
401,10,1.0,3.0,12.0
402,10,1.0,4.0,14.0
403,10,1.0,4.0,15.0
404,10,1.0,3.0,11.0
405,10,1.0,4.0,11.0
406,10,1.0,2.0,7.0
407,10,1.0,1.0,7.0
408,10,1.0,2.0,8.0
409,10,1.0,2.0,9.0
410,10,1.0,2.0,9.0
411,10,1.0,3.0,14.0
412,10,1.0,2.0,9.0
413,10,1.0,2.0,8.0
414,10,1.0,1.0,10.0
415,10,1.0,3.0,10.0
416,10,1.0,4.0,14.0
417,10,1.0,1.0,8.0
418,10,1.0,4.0,15.0
419,10,1.0,4.0,13.0
420,10,1.0,3.0,10.0
421,10,1.0,5.0,15.0
422,10,1.0,4.0,12.0
423,10,1.0,5.0,12.0
424,10,1.0,3.0,10.0
425,10,1.0,1.0,6.0
426,10,1.0,1.0,6.0
427,10,1.0,3.0,10.0
428,10,1.0,1.0,7.0
429,10,1.0,3.0,10.0
430,10,1.0,2.0,9.0
431,10,1.0,1.0,8.0
432,10,1.0,1.0,7.0
433,10,1.0,5.0,11.0
434,10,1.0,5.0,7.0
435,10,1.0,3.0,10.0
436,10,1.0,2.0,10.0
437,10,1.0,3.0,9.0
438,10,1.0,3.0,10.0
439,10,1.0,4.0,11.0
440,10,1.0,3.0,12.0
441,10,1.0,4.0,12.0
442,10,1.0,3.0,11.0
443,10,1.0,3.0,5.0
444,10,1.0,4.0,10.0
445,10,1.0,5.0,11.0
446,10,1.0,2.0,8.0
447,10,1.0,1.0,7.0
448,10,1.0,4.0,11.0
449,10,1.0,2.0,9.0
450,10,1.0,2.0,10.0
451,10,1.0,3.0,9.0
452,10,1.0,4.0,11.0
453,10,1.0,2.0,8.0
454,10,1.0,1.0,11.0
455,10,1.0,0.0,9.0
456,10,1.0,3.0,9.0
457,10,1.0,3.0,9.0
458,10,1.0,4.0,10.0
459,10,1.0,2.0,10.0
460,10,1.0,1.0,8.0
461,30,1.0,4.0,9.0
462,30,1.0,5.0,10.0
463,30,1.0,4.0,7.0
464,30,1.0,3.0,9.0
465,30,1.0,2.0,6.0
466,30,1.0,3.0,11.0
467,30,1.0,3.0,11.0
468,30,1.0,2.0,8.0
469,30,1.0,4.0,13.0
470,30,1.0,7.0,13.0
471,30,1.0,2.0,8.0
472,30,1.0,4.0,8.0
473,30,1.0,7.0,9.0
474,30,1.0,7.0,8.0
475,30,1.0,1.0,9.0
476,30,1.0,0.0,6.0
477,30,1.0,4.0,9.0
478,30,1.0,1.0,6.0
479,30,1.0,2.0,9.0
480,30,1.0,6.0,8.0
481,30,1.0,5.0,8.0
482,30,1.0,5.0,12.0
483,30,1.0,4.0,9.0
484,30,1.0,6.0,12.0
485,30,1.0,2.0,7.0
486,30,1.0,9.0,13.0
487,30,1.0,3.0,8.0
488,30,1.0,7.0,14.0
489,30,1.0,5.0,8.0
490,30,1.0,1.0,7.0
491,30,1.0,1.0,5.0
492,30,1.0,2.0,7.0
493,30,1.0,4.0,11.0
494,30,1.0,2.0,8.0
495,30,1.0,5.0,10.0
496,30,1.0,4.0,10.0
497,30,1.0,1.0,8.0
498,30,1.0,3.0,8.0
499,30,1.0,4.0,9.0
500,30,1.0,2.0,8.0
501,30,1.0,3.0,8.0
502,30,1.0,9.0,13.0
503,30,1.0,3.0,8.0
504,30,1.0,6.0,12.0
505,30,1.0,4.0,10.0
506,30,1.0,3.0,8.0
507,30,1.0,4.0,9.0
508,30,1.0,3.0,8.0
509,30,1.0,4.0,8.0
510,30,1.0,4.0,9.0
511,30,1.0,3.0,8.0
512,30,1.0,6.0,13.0
513,30,1.0,5.0,10.0
514,30,1.0,3.0,9.0
515,30,1.0,6.0,11.0
516,30,1.0,4.0,11.0
517,30,1.0,9.0,12.0
518,30,1.0,4.0,11.0
519,30,1.0,2.0,7.0
520,30,1.0,3.0,8.0
521,30,1.0,1.0,5.0
522,30,1.0,5.0,13.0
523,30,1.0,5.0,10.0
524,30,1.0,2.0,5.0
525,30,1.0,1.0,5.0
526,30,1.0,4.0,9.0
527,30,1.0,2.0,7.0
528,30,1.0,2.0,6.0
529,30,1.0,5.0,10.0
530,30,1.0,4.0,7.0
531,30,1.0,3.0,10.0
532,30,1.0,2.0,9.0
533,30,1.0,5.0,13.0
534,30,1.0,4.0,11.0
535,30,1.0,2.0,6.0
536,30,1.0,5.0,12.0
537,30,1.0,5.0,11.0
538,30,1.0,3.0,11.0
539,30,1.0,9.0,15.0
540,30,1.0,5.0,12.0
541,30,1.0,1.0,5.0
542,30,1.0,4.0,13.0
543,30,1.0,3.0,10.0
544,30,1.0,1.0,6.0
545,30,1.0,2.0,6.0
546,30,1.0,6.0,12.0
547,30,1.0,2.0,7.0
548,30,1.0,5.0,11.0
549,30,1.0,1.0,6.0
550,30,1.0,4.0,9.0
551,30,1.0,4.0,8.0
552,30,1.0,3.0,11.0
553,30,1.0,4.0,10.0
554,30,1.0,3.0,9.0
555,30,1.0,4.0,10.0
556,30,1.0,4.0,10.0
557,30,1.0,4.0,10.0
558,30,1.0,3.0,10.0
559,30,1.0,3.0,7.0
560,30,1.0,2.0,6.0
561,30,1.0,3.0,7.0
562,30,1.0,5.0,11.0
563,30,1.0,3.0,9.0
564,30,1.0,3.0,10.0
565,30,1.0,4.0,8.0
566,30,1.0,2.0,6.0
567,30,1.0,7.0,13.0
568,30,1.0,4.0,8.0
569,30,1.0,2.0,5.0
570,30,1.0,2.0,9.0
571,30,1.0,4.0,10.0
572,30,1.0,4.0,13.0
573,30,1.0,3.0,9.0
574,30,1.0,4.0,10.0
575,30,1.0,2.0,11.0
576,30,1.0,5.0,11.0
577,30,1.0,3.0,7.0
578,30,1.0,3.0,7.0
579,30,1.0,3.0,8.0
580,30,1.0,4.0,9.0
581,30,1.0,3.0,10.0
582,30,1.0,4.0,11.0
583,30,1.0,2.0,8.0
584,30,1.0,5.0,8.0
585,30,1.0,3.0,12.0
586,30,1.0,5.0,12.0
587,30,1.0,1.0,7.0
588,30,1.0,5.0,13.0
589,30,1.0,1.0,6.0
590,30,1.0,3.0,12.0
591,30,1.0,2.0,9.0
592,30,1.0,1.0,7.0
593,50,1.0,3.0,8.0
594,50,1.0,4.0,9.0
595,50,1.0,4.0,8.0
596,50,1.0,5.0,10.0
597,50,1.0,2.0,6.0
598,50,1.0,2.0,7.0
599,50,1.0,5.0,10.0
600,50,1.0,6.0,10.0
601,50,1.0,2.0,7.0
602,50,1.0,4.0,10.0
603,50,1.0,7.0,10.0
604,50,1.0,4.0,8.0
605,50,1.0,4.0,10.0
606,50,1.0,3.0,7.0
607,50,1.0,3.0,8.0
608,50,1.0,8.0,15.0
609,50,1.0,4.0,11.0
610,50,1.0,5.0,11.0
611,50,1.0,2.0,8.0
612,50,1.0,2.0,8.0
613,50,1.0,3.0,7.0
614,50,1.0,1.0,6.0
615,50,1.0,2.0,6.0
616,50,1.0,3.0,7.0
617,50,1.0,3.0,8.0
618,50,1.0,6.0,10.0
619,50,1.0,6.0,12.0
620,50,1.0,2.0,8.0
621,50,1.0,1.0,6.0
622,50,1.0,2.0,6.0
623,50,1.0,3.0,9.0
624,50,1.0,4.0,11.0
625,50,1.0,5.0,11.0
626,50,1.0,3.0,8.0
627,50,1.0,2.0,6.0
628,50,1.0,3.0,7.0
629,50,1.0,4.0,10.0
630,50,1.0,7.0,11.0
631,50,1.0,3.0,11.0
632,50,1.0,3.0,11.0
633,50,1.0,2.0,10.0
634,50,1.0,2.0,9.0
635,50,1.0,5.0,9.0
636,50,1.0,6.0,13.0
637,50,1.0,7.0,14.0
638,50,1.0,2.0,7.0
639,50,1.0,4.0,10.0
640,50,1.0,3.0,8.0
641,50,1.0,4.0,10.0
642,50,1.0,2.0,5.0
643,50,1.0,2.0,8.0
644,50,1.0,3.0,9.0
645,50,1.0,1.0,6.0
646,50,1.0,3.0,9.0
647,50,1.0,6.0,7.0
648,50,1.0,4.0,10.0
649,50,1.0,2.0,8.0
650,50,1.0,2.0,5.0
651,50,1.0,2.0,8.0
652,50,1.0,1.0,7.0
653,50,1.0,5.0,8.0
654,50,1.0,3.0,8.0
655,50,1.0,1.0,6.0
656,50,1.0,2.0,7.0
657,50,1.0,3.0,7.0
658,50,1.0,1.0,6.0
659,50,1.0,0.0,5.0
660,50,1.0,1.0,4.0
661,50,1.0,2.0,6.0
662,50,1.0,4.0,8.0
663,50,1.0,3.0,8.0
664,50,1.0,4.0,8.0
665,50,1.0,5.0,10.0
666,50,1.0,5.0,6.0
667,50,1.0,4.0,9.0
668,50,1.0,3.0,11.0
669,50,1.0,7.0,12.0
670,50,1.0,4.0,10.0
671,50,1.0,4.0,9.0
672,50,1.0,4.0,8.0
673,50,1.0,5.0,9.0
674,50,1.0,2.0,5.0
675,50,1.0,3.0,7.0
676,50,1.0,7.0,12.0
677,50,1.0,7.0,14.0
678,50,1.0,5.0,10.0
679,50,1.0,6.0,9.0
680,50,1.0,2.0,6.0
681,50,1.0,2.0,6.0
682,50,1.0,1.0,4.0
683,50,1.0,4.0,9.0
684,50,1.0,4.0,7.0
685,50,1.0,7.0,12.0
686,50,1.0,5.0,10.0
687,50,1.0,3.0,7.0
688,50,1.0,2.0,8.0
689,50,1.0,5.0,10.0
690,50,1.0,3.0,9.0
691,50,1.0,0.0,5.0
692,50,1.0,3.0,5.0
693,50,1.0,2.0,6.0
694,50,1.0,1.0,7.0
695,50,1.0,3.0,8.0
696,50,1.0,2.0,6.0
697,50,1.0,3.0,10.0
698,50,1.0,2.0,8.0
699,50,1.0,4.0,8.0
700,50,1.0,2.0,9.0
701,50,1.0,2.0,7.0
702,50,1.0,2.0,6.0
703,50,1.0,1.0,5.0
704,50,1.0,3.0,8.0
705,50,1.0,1.0,5.0
706,50,1.0,3.0,8.0
707,50,1.0,1.0,6.0
708,50,1.0,4.0,10.0
709,50,1.0,3.0,7.0
710,50,1.0,5.0,10.0
711,50,1.0,3.0,9.0
712,50,1.0,1.0,7.0
713,50,1.0,2.0,7.0
714,50,1.0,4.0,9.0
715,50,1.0,3.0,8.0
716,50,1.0,2.0,7.0
717,50,1.0,4.0,8.0
718,50,1.0,3.0,8.0
719,50,1.0,2.0,7.0
720,50,1.0,4.0,8.0
721,50,1.0,3.0,9.0
722,50,1.0,4.0,7.0
723,50,1.0,3.0,10.0
724,50,1.0,2.0,10.0
725,50,1.0,1.0,7.0
726,50,1.0,5.0,12.0
727,50,1.0,3.0,9.0
728,50,1.0,6.0,12.0
729,50,1.0,5.0,10.0
730,50,1.0,3.0,9.0
731,50,1.0,7.0,12.0
732,50,1.0,5.0,10.0
733,50,1.0,2.0,7.0
734,50,1.0,1.0,6.0
735,50,1.0,3.0,8.0
736,50,1.0,2.0,5.0
737,50,1.0,3.0,7.0
738,50,1.0,3.0,8.0
739,50,1.0,3.0,7.0
740,50,1.0,3.0,9.0
741,50,1.0,2.0,6.0
742,75,1.0,9.0,14.0
743,75,1.0,10.0,12.0
744,75,1.0,6.0,14.0
745,75,1.0,7.0,12.0
746,75,1.0,6.0,14.0
747,75,1.0,6.0,14.0
748,75,1.0,4.0,10.0
749,75,1.0,3.0,9.0
750,75,1.0,2.0,6.0
751,75,1.0,5.0,9.0
752,75,1.0,9.0,12.0
753,75,1.0,7.0,7.0
754,75,1.0,10.0,12.0
755,75,1.0,5.0,10.0
756,75,1.0,6.0,11.0
757,75,1.0,3.0,7.0
758,75,1.0,6.0,6.0
759,75,1.0,10.0,13.0
760,75,1.0,8.0,14.0
761,75,1.0,11.0,15.0
762,75,1.0,10.0,13.0
763,75,1.0,4.0,8.0
764,75,1.0,3.0,8.0
765,75,1.0,2.0,6.0
766,75,1.0,8.0,15.0
767,75,1.0,6.0,10.0
768,75,1.0,7.0,15.0
769,75,1.0,9.0,15.0
770,75,1.0,8.0,15.0
771,75,1.0,7.0,12.0
772,75,1.0,8.0,13.0
773,75,1.0,11.0,15.0
774,75,1.0,9.0,15.0
775,75,1.0,6.0,12.0
776,75,1.0,5.0,12.0
777,75,1.0,3.0,8.0
778,75,1.0,5.0,11.0
779,75,1.0,4.0,10.0
780,75,1.0,6.0,10.0
781,75,1.0,8.0,11.0
782,75,1.0,6.0,12.0
783,75,1.0,7.0,14.0
784,75,1.0,4.0,9.0
785,75,1.0,3.0,8.0
786,75,1.0,4.0,8.0
787,75,1.0,6.0,13.0
788,75,1.0,9.0,14.0
789,75,1.0,9.0,14.0
790,75,1.0,7.0,14.0
791,75,1.0,8.0,11.0
792,75,1.0,7.0,14.0
793,75,1.0,7.0,15.0
794,75,1.0,5.0,12.0
795,75,1.0,4.0,8.0
796,75,1.0,7.0,14.0
797,75,1.0,11.0,14.0
798,75,1.0,5.0,8.0
799,75,1.0,6.0,13.0
800,75,1.0,5.0,12.0
801,75,1.0,5.0,12.0
802,75,1.0,9.0,12.0
803,75,1.0,6.0,10.0
804,75,1.0,6.0,11.0
805,75,1.0,6.0,13.0
806,75,1.0,10.0,11.0
807,75,1.0,12.0,14.0
808,75,1.0,6.0,13.0
809,75,1.0,4.0,6.0
810,75,1.0,5.0,11.0
811,75,1.0,10.0,15.0
812,75,1.0,10.0,15.0
813,75,1.0,10.0,15.0
814,75,1.0,8.0,12.0
815,75,1.0,6.0,8.0
816,75,1.0,6.0,10.0
817,75,1.0,7.0,9.0
818,75,1.0,8.0,12.0
819,75,1.0,6.0,9.0
820,75,1.0,4.0,8.0
821,75,1.0,6.0,10.0
822,75,1.0,7.0,15.0
823,75,1.0,8.0,12.0
824,75,1.0,4.0,6.0
825,75,1.0,4.0,9.0
826,75,1.0,7.0,14.0
827,75,1.0,6.0,13.0
828,75,1.0,3.0,9.0
829,75,1.0,4.0,10.0
830,75,1.0,3.0,10.0
831,75,1.0,11.0,15.0
832,75,1.0,5.0,9.0
833,75,1.0,9.0,13.0
834,75,1.0,9.0,15.0
835,75,1.0,5.0,10.0
836,75,1.0,11.0,15.0
837,75,1.0,7.0,12.0
838,75,1.0,5.0,11.0
839,75,1.0,5.0,9.0
840,75,1.0,6.0,11.0
841,75,1.0,4.0,11.0
842,75,1.0,4.0,10.0
843,75,1.0,5.0,12.0
844,75,1.0,6.0,12.0
845,75,1.0,4.0,8.0
846,75,1.0,10.0,15.0
847,75,1.0,6.0,8.0
848,75,1.0,5.0,7.0
849,75,1.0,5.0,9.0
850,75,1.0,5.0,9.0
851,75,1.0,7.0,13.0
852,75,1.0,7.0,11.0
853,75,1.0,6.0,11.0
854,75,1.0,6.0,8.0
855,75,1.0,5.0,9.0
856,75,1.0,6.0,8.0
857,75,1.0,7.0,12.0
858,75,1.0,5.0,7.0
859,75,1.0,7.0,11.0
860,75,1.0,6.0,11.0
861,75,1.0,5.0,10.0
862,75,1.0,2.0,6.0
863,75,1.0,5.0,8.0
864,75,1.0,6.0,12.0
865,75,1.0,7.0,11.0
866,75,1.0,7.0,11.0
867,75,1.0,4.0,10.0
868,75,1.0,6.0,11.0
