Cell_id,time,Dex_Conc,normgrnuc,normgrcyt
3949,180,1,15,15
1325,10,10,4,7
4776,10,100,5,1
6134,180,1,8,6
7511,75,100,4,1
2905,150,100,6,3
4319,50,10,6,4
5223,180,100,7,2
6201,180,1,6,7
4286,30,10,7,4
1164,0,10,2,8
3545,30,1,3,10
1314,0,10,2,8
2354,10,100,5,2
5889,50,1,1,4
1867,150,10,10,2
1143,180,1,3,7
6829,75,10,14,4
5997,75,1,4,7
939,150,1,5,8
3573,30,1,1,7
6198,180,1,4,5
599,50,1,5,10
6785,75,10,12,3
4564,180,10,8,1
2684,50,100,11,5
3646,50,1,5,13
7077,10,100,3,1
6992,180,10,3,1
6120,180,1,3,5
3710,50,1,5,11
693,50,1,2,6
6015,75,1,3,5
5741,30,1,4,8
373,10,1,0,5
6875,180,10,4,1
4280,30,10,8,5
3345,10,1,6,14
3976,180,1,8,9
6102,180,1,3,6
5087,50,100,9,1
6556,30,10,15,5
4894,30,100,7,1
5663,30,1,3,8
1230,0,100,2,13
5520,10,1,1,8
249,0,10,5,11
6939,180,10,4,1
5047,50,100,15,2
1092,180,1,5,6
592,30,1,1,7
3335,10,1,3,11
554,30,1,3,9
1523,30,10,5,5
6334,10,10,3,4
1848,75,10,10,4
2633,50,100,15,5
360,10,1,2,8
987,150,1,6,7
6033,75,1,2,7
7249,30,100,9,2
2886,75,100,9,2
5778,50,1,2,6
7498,75,100,7,2
7268,30,100,5,0
5169,75,100,12,3
6175,180,1,3,4
7117,10,100,4,0
4248,30,10,3,2
7605,180,100,3,0
6437,30,10,6,4
3675,50,1,3,8
2910,150,100,7,2
5509,10,1,3,9
1666,50,10,12,4
893,150,1,5,8
5764,30,1,2,7
6548,30,10,13,4
7476,75,100,4,0
4146,10,10,1,4
1524,30,10,9,8
3818,75,1,3,6
4158,10,10,3,5
1403,10,10,3,7
4768,10,100,9,2
2854,75,100,6,1
5194,75,100,6,1
2240,0,1,2,11
1941,150,10,9,2
6671,50,10,12,3
1531,30,10,10,8
1593,50,10,15,9
5310,180,100,10,2
6615,50,10,11,3
5231,180,100,6,2
5503,10,1,3,7
1561,30,10,9,8
2893,150,100,8,2
2555,30,100,8,1
6888,180,10,5,1
7602,180,100,3,1
2279,0,10,2,9
4786,10,100,10,2
2752,75,100,10,2
2708,50,100,15,5
7207,30,100,6,1
3583,30,1,4,9
7316,30,100,5,0
1534,30,10,5,4
3476,10,1,4,15
3926,180,1,4,7
2088,180,10,6,1
452,10,1,4,11
6199,180,1,3,4
1490,30,10,9,6
3507,30,1,4,12
7014,180,10,5,1
2418,10,100,9,3
5341,0,100,8,14
1121,180,1,6,5
1492,30,10,8,7
6317,10,10,5,8
2841,75,100,7,2
6303,10,10,8,8
3141,180,100,7,3
2748,75,100,7,2
1360,10,10,6,8
1281,0,10,4,13
3413,10,1,2,9
1632,50,10,8,7
7544,75,100,3,0
2805,75,100,10,3
6638,50,10,10,2
4956,50,100,11,2
3908,75,1,3,6
5037,50,100,9,3
3936,180,1,7,7
7193,30,100,6,0
2503,30,100,8,2
5708,30,1,2,7
7368,50,100,1,0
5626,10,1,3,10
6062,75,1,2,6
4296,30,10,6,3
3268,0,10,4,11
7130,10,100,6,1
3868,75,1,7,9
7317,50,100,3,0
7672,180,100,1,0
4960,50,100,14,3
7274,30,100,5,1
7660,180,100,5,1
6429,30,10,12,6
478,30,1,1,6
3232,0,10,4,13
4163,10,10,5,6
5357,0,10,1,5
3370,10,1,1,7
5097,75,100,4,1
933,150,1,8,11
6971,180,10,2,0
4520,75,10,4,1
3942,180,1,4,6
4490,75,10,8,3
1328,10,10,5,7
7568,75,100,2,0
5029,50,100,10,1
1787,75,10,13,4
6925,180,10,2,1
7556,75,100,5,1
6385,10,10,1,3
6234,180,1,5,6
6322,10,10,3,6
6663,50,10,14,3
3353,10,1,1,7
2522,30,100,11,3
3171,180,100,5,1
6424,10,10,2,2
2346,10,100,4,2
4074,10,10,4,7
4409,50,10,4,2
2970,150,100,8,3
4054,10,10,3,5
6022,75,1,3,6
7535,75,100,6,1
6254,180,1,7,7
3155,180,100,4,2
2327,10,100,13,4
3971,180,1,6,6
2721,50,100,11,4
6525,30,10,9,5
3290,0,1,6,15
5497,10,1,3,6
3324,0,10,4,13
6078,75,1,3,7
296,0,10,0,6
4174,30,10,4,3
6813,75,10,10,3
6967,180,10,6,2
2393,10,100,12,4
1113,180,1,7,7
5681,30,1,3,10
1251,0,10,3,8
7628,180,100,3,0
4762,10,100,6,2
3816,75,1,4,6
7551,75,100,3,0
6619,50,10,11,3
2416,10,100,11,3
6255,180,1,4,5
3146,180,100,4,2
1389,10,10,6,10
3615,30,1,4,9
7260,30,100,4,0
5360,0,1,3,8
275,0,1,0,6
5894,50,1,3,8
3876,75,1,3,7
7294,30,100,10,1
12,0,1,4,9
7591,180,100,4,1
7183,10,100,4,1
5875,50,1,3,7
3717,50,1,4,9
2026,180,10,7,1
2116,180,10,7,2
6620,50,10,3,1
4426,50,10,4,2
3173,180,100,5,2
6002,75,1,4,9
2692,50,100,11,5
5439,0,100,3,9
6190,180,1,6,5
715,50,1,3,8
4788,10,100,8,2
3989,180,1,7,9
4045,10,10,2,5
5269,180,100,8,2
5242,180,100,9,2
4588,180,10,5,1
5946,75,1,3,7
7070,10,100,3,0
4832,30,100,11,2
6296,10,10,5,6
2015,180,10,8,2
7610,180,100,8,1
6377,10,10,8,6
1284,0,100,2,9
2505,30,100,8,3
1634,50,10,9,5
1981,150,10,11,2
3002,150,100,9,2
1785,75,10,11,5
2518,30,100,13,4
4646,180,10,8,1
4548,180,10,10,2
4374,50,10,7,3
3298,0,1,2,9
605,50,1,4,10
3056,180,100,8,3
3775,50,1,5,12
5713,30,1,4,5
97,0,100,3,9
825,75,1,4,9
7484,75,100,9,2
1530,30,10,14,10
4358,50,10,8,4
6463,30,10,15,7
603,50,1,7,10
2265,0,1,0,6
3318,0,1,2,8
5504,10,1,3,6
4405,50,10,6,4
3619,30,1,3,11
3450,10,1,2,7
3463,10,1,3,10
6143,180,1,3,7
2855,75,100,8,2
1777,75,10,7,3
362,10,1,3,8
7278,30,100,5,0
3578,30,1,4,12
3474,10,1,5,15
2780,75,100,7,2
888,150,1,9,9
6631,50,10,8,2
7025,180,10,6,2
3034,180,100,7,3
3580,30,1,4,12
6632,50,10,6,1
