X,y,x,mass,size,ecc,signal,raw_mass,ep,x_orig,y_orig,Worm,Rep,RNAi,Genotype,IntensityIntegers,time,Rep_group,zeroes
542,253.175065527718,565.326096241449,1589.0305831254,7.30805133869839,0.180896558522581,7.31822497601503,4105,0.0118956025992757,1412.85802886092,989.961498311329,3,1,L4440,ELT-2-GFP,7,2,1,0
362,126.355241001641,381.003423953621,1508.35896913957,7.18469525975886,0.114832231648812,6.73328647711045,4388,0.00790677319151185,1168.18285285899,500.680297144415,7,1,L4440,ELT-2-GFP,7,1,1,0
380,132.723334752101,417.336219568678,2095.4398709835,7.50850348655012,0.0703789679126477,8.27526047950215,7429,0.00447060047069859,1144.51748920722,528.974735086342,7,1,L4440,ELT-2-GFP,10,2,1,0
395,164.787452248912,423.241224099812,1008.1426027637,7.11716752794839,0.0886855838539605,4.93431680765346,3251,0.0110953221232849,1160.67844396859,557.290812684817,7,1,L4440,ELT-2-GFP,4,1,1,0
407,117.784732314251,495.890284893919,1400.2151924385,7.62241939539201,0.0610632785205151,4.8829176742404,3587,0.00991387070418677,1074.84149475075,568.206849717348,7,1,L4440,ELT-2-GFP,6,2,1,0
423,153.512471210197,496.361388259016,752.2777166335,7.64981105536842,0.0651779950123073,2.6213558040659,1687,0.0249173626539179,1097.51817436458,595.819554523094,7,1,L4440,ELT-2-GFP,2,1,1,0
428,117.801335206202,568.833267164656,749.964755629913,7.97875150857989,0.0304966680093343,2.46715840382673,1579,0.0272625983679403,1019.09732026592,615.252210266603,7,1,L4440,ELT-2-GFP,2,2,1,0
467,158.782996648236,601.389476911484,1233.3222062463,8.05406817512856,0.0236623959647433,4.21472893987066,3469,0.0102990066195959,1020.63700770994,667.568868514274,7,1,L4440,ELT-2-GFP,5,1,1,0
490,119.852444024191,686.651355908088,589.34246371411,7.7956132252248,0.101813093252156,1.95316706969616,1071,0.0489204009536854,930.364120006977,692.787545787546,7,1,L4440,ELT-2-GFP,1,2,1,0
682,132.218349886075,1122.81782921543,1738.42149029641,7.6135404683064,0.193594085388179,6.73328647711045,4934,0.0069479432035332,604.948199396842,983.47395186565,7,1,L4440,ELT-2-GFP,8,1,1,0
736,139.565842270267,1220.46711765794,2289.62579701803,7.03859676253577,0.0702980992387607,9.92003274871998,6310,0.00532160531504442,535.046311677816,1052.05306873793,7,1,L4440,ELT-2-GFP,11,2,1,0
761,145.550351043402,1280.32860042967,2239.66583934054,6.58177444916725,0.177263841819604,13.1067790203295,6460,0.00518919335966547,493.149171524303,1095.22529490063,7,1,L4440,ELT-2-GFP,11,1,1,0
127,167.811669591662,1336.10358202306,2448.83698375164,7.21820044432159,0.101486436977419,12.7833411299447,6366,0.00385782683110581,1286.15222420111,325.175704722717,2,1,L4440,ELT-2-GFP,12,2,1,0
149,177.332240497216,1273.30016053746,3142.44603423758,8.24735352903649,0.0685025997479412,10.3770651525433,8114,0.00296864540849025,1266.19239052405,385.479237457127,2,1,L4440,ELT-2-GFP,16,1,1,0
181,213.284671100899,1207.09502597302,672.604266433208,8.44804013527115,0.171871994609832,2.15562222975538,1460,0.0242106382446606,1268.25646567787,460.788179175673,2,1,L4440,ELT-2-GFP,2,2,1,0
188,181.748000833434,1156.55740032715,3523.03868466323,8.42299972182042,0.113730091079556,12.4825566327695,9774,0.00243554353583963,1217.24888654894,491.558945316391,2,1,L4440,ELT-2-GFP,19,1,1,0
231,201.246323285185,1031.56882414455,591.643105943558,8.66061114427304,0.0541478524246077,2.05536073069699,1167,0.0353481600921327,1178.01686154889,611.821894594137,2,1,L4440,ELT-2-GFP,1,2,1,0
279,223.198950929382,909.243957777153,632.900712806086,8.26346366139335,0.0611104337066351,1.90496848210941,1221,0.0325854683041385,1142.17948514851,730.821782178218,2,1,L4440,ELT-2-GFP,1,1,1,0
291,180.879488870297,843.600364238065,842.096330591416,9.02964386834242,0.0268186556922306,2.65692972504733,1549,0.0220959034741319,1074.71627574711,770.175735206572,2,1,L4440,ELT-2-GFP,3,2,1,0
311,213.565057495764,792.589206689261,1496.15221969882,8.59304615867621,0.0439294360706463,4.31124445951076,3611,0.00730754668048055,1080.75017590886,830.459038364885,2,1,L4440,ELT-2-GFP,7,1,1,0
328,170.065737467088,722.500012640774,1495.600781454,8.76400802694673,0.0808113038252294,5.21359795103627,3636,0.00724872718989298,1010.22139170074,873.241938727626,2,1,L4440,ELT-2-GFP,7,2,1,0
345,206.011496817588,686.387523963535,771.612496753368,8.81755183564125,0.00789587930335576,2.80732197363492,1589,0.0212612458559367,1025.91040800416,921.71939968815,2,1,L4440,ELT-2-GFP,2,1,1,0
354,163.7448036771,618.586709948673,1223.94224975529,8.69816526916823,0.0144066846505778,3.75980621468962,2563,0.0110746928013051,957.517100143354,963.020479213598,2,1,L4440,ELT-2-GFP,5,2,1,0
368,211.943479896809,615.959461472331,1370.37416913007,8.55840125694744,0.0614131463541111,4.16085221092318,3014,0.00906388518129342,999.297556335967,987.195017559263,2,1,L4440,ELT-2-GFP,6,1,1,0
