Cell_id,Condition,Replica,Dex_Conc,Time_index,Time_TPL,Nuc_Area,Cyto_Area,Nuc_GR_avg_int,Cyto_GR_avg_int,Nuc_DUSP1_avg_int_round,Nuc_DUSP1_avg_int,Cyto_DUSP1_avg_int,RNA_DUSP1_nuc,RNA_DUSP1_cyto,DUSP1_ts_size_0,DUSP1_ts_size_1,DUSP1_ts_size_2,DUSP1_ts_size_3
158,DUSP1_timesweep,D,0,0,,8447,16304,,,1200,1199.91145,1242.61108,5,19,,,,
159,DUSP1_timesweep,D,0,0,,9632,12999,,,1151,1150.2854,1166.35926,8,20,,,,
160,DUSP1_timesweep,D,0,0,,7647,13478,,,1390,1389.21119,1417.26347,18,49,,,,
161,DUSP1_timesweep,D,0,0,,10069,14896,,,1439,1438.46241,1389.79766,54,57,,,,
162,DUSP1_timesweep,D,0,0,,8642,20547,,,1385,1384.18549,1387.44683,10,72,,,,
163,DUSP1_timesweep,D,0,0,,10279,16204,,,1399,1398.26063,1372.30758,30,64,,,,
164,DUSP1_timesweep,D,0,0,,8485,17425,,,1399,1398.82062,1376.4307,22,47,,,,
165,DUSP1_timesweep,D,0,0,,9463,20334,,,1296,1295.54063,1270.84671,12,17,,,,
166,DUSP1_timesweep,D,0,0,,9899,19206,,,1334,1333.29175,1288.64105,10,22,4,,,
167,DUSP1_timesweep,D,0,0,,7236,13227,,,1135,1134.83167,1167.70606,4,6,,,,
168,DUSP1_timesweep,D,0,0,,6702,14547,,,1294,1293.86467,1206.37678,42,61,14,,,
169,DUSP1_timesweep,D,0,0,,8112,13362,,,1242,1241.31398,1190.45382,20,24,,,,
170,DUSP1_timesweep,D,0,0,,9732,18872,,,1279,1278.38163,1301.99677,20,60,,,,
171,DUSP1_timesweep,D,0,0,,4854,15892,,,1478,1477.41842,1423.09376,21,56,,,,
172,DUSP1_timesweep,D,0,0,,8749,16635,,,1211,1210.4029,1197.52005,2,6,,,,
173,DUSP1_timesweep,D,0,0,,8491,14351,,,1265,1264.27111,1271.02174,8,20,,,,
174,DUSP1_timesweep,D,0,0,,8318,17470,,,1363,1362.81173,1354.23452,18,39,,,,
175,DUSP1_timesweep,D,0,0,,9293,15614,,,1141,1140.87119,1121.94082,0,4,,,,
176,DUSP1_timesweep,D,0,0,,8751,15726,,,1189,1188.70895,1158.89247,8,8,,,,
177,DUSP1_timesweep,D,0,0,,8350,14691,,,1232,1231.1503,1214.18311,17,40,,,,
178,DUSP1_timesweep,D,0,0,,9450,17120,,,1301,1300.45915,1290.13154,6,32,,,,
179,DUSP1_timesweep,D,0,0,,8731,17456,,,1400,1399.54255,1367.58301,23,45,,,,
180,DUSP1_timesweep,D,0,0,,6976,15052,,,1390,1389.25932,1361.98658,11,33,,,,
181,DUSP1_timesweep,D,0,0,,8681,15477,,,1246,1245.8279,1262.57653,9,14,,,,
182,DUSP1_timesweep,D,0,0,,9489,17029,,,1359,1358.0372,1331.52281,12,14,,,,
183,DUSP1_timesweep,D,0,0,,8039,17164,,,1262,1261.22092,1221.94588,5,16,28,,,
184,DUSP1_timesweep,D,0,0,,8199,15757,,,1213,1212.19466,1202.63293,6,19,,,,
185,DUSP1_timesweep,D,0,0,,8404,13859,,,1281,1280.59055,1266.12714,30,65,,,,
186,DUSP1_timesweep,D,0,0,,8606,16257,,,1291,1290.89589,1303.30854,21,75,,,,
187,DUSP1_timesweep,D,0,0,,8105,18325,,,1318,1317.60777,1310.58947,9,34,,,,
188,DUSP1_timesweep,D,0,0,,9574,20819,,,1433,1432.77804,1427.05702,32,72,,,,
189,DUSP1_timesweep,D,0,0,,12263,19755,,,1407,1406.37495,1364.2037,21,48,,,,
190,DUSP1_timesweep,D,0,0,,6655,13013,,,1401,1400.22179,1345.31937,10,17,,,,
191,DUSP1_timesweep,D,0,0,,10814,19916,,,1235,1234.10394,1206.77887,21,56,,,,
192,DUSP1_timesweep,D,0,0,,8969,12953,,,1297,1296.27261,1293.66695,14,43,,,,
193,DUSP1_timesweep,D,0,0,,7288,14293,,,1406,1405.05351,1339.25089,34,49,,,,
194,DUSP1_timesweep,D,0,0,,9348,14986,,,1389,1388.58258,1345.57627,27,43,,,,
195,DUSP1_timesweep,D,0,0,,9686,17628,,,1388,1387.49391,1365.12582,39,62,,,,
196,DUSP1_timesweep,D,0,0,,9984,15637,,,1386,1385.54227,1367.79011,15,30,,,,
197,DUSP1_timesweep,D,0,0,,9340,19999,,,1218,1217.14165,1193.9768,13,37,,,,
198,DUSP1_timesweep,D,0,0,,8559,16218,,,1282,1281.42575,1228.76643,7,16,,,,
199,DUSP1_timesweep,D,0,0,,9147,19042,,,1358,1357.54903,1331.62987,12,26,,,,
200,DUSP1_timesweep,D,0,0,,7912,13364,,,1284,1283.92935,1267.42472,3,18,,,,
201,DUSP1_timesweep,D,0,0,,7434,12814,,,1112,1111.26029,1156.51217,3,10,,,,
202,DUSP1_timesweep,D,0,0,,9364,20203,,,1246,1245.24413,1210.73242,3,16,,,,
203,DUSP1_timesweep,D,0,0,,5364,14255,,,1104,1103.39243,1147.35146,0,4,,,,
204,DUSP1_timesweep,D,0,0,,8971,17819,,,1390,1389.31111,1355.4755,18,34,,,,
205,DUSP1_timesweep,D,0,0,,8817,14361,,,1258,1257.31428,1224.49753,9,23,,,,
206,DUSP1_timesweep,D,0,0,,8791,18086,,,1274,1273.64304,1283.05258,14,56,,,,
207,DUSP1_timesweep,D,0,0,,7651,18976,,,1322,1321.23984,1165.62089,28,39,89,,,
208,DUSP1_timesweep,D,0,0,,9757,20436,,,1372,1371.06908,1341.8531,23,71,,,,
209,DUSP1_timesweep,D,0,0,,9889,19767,,,1340,1339.86713,1311.57991,15,40,,,,
210,DUSP1_timesweep,D,0,0,,9162,18317,,,1404,1403.85363,1399.59529,40,99,,,,
211,DUSP1_timesweep,D,0,0,,7904,18486,,,1384,1383.45053,1351.79541,23,46,,,,
212,DUSP1_timesweep,D,0,0,,8387,18560,,,1178,1177.60844,1136.34784,4,10,,,,
213,DUSP1_timesweep,D,0,0,,9039,20263,,,1350,1349.08364,1304.89666,73,147,,,,
214,DUSP1_timesweep,D,0,0,,8071,15703,,,1274,1273.64763,1246.05929,7,13,,,,
215,DUSP1_timesweep,D,0,0,,8173,14879,,,1360,1359.88988,1353.82633,41,78,,,,
216,DUSP1_timesweep,D,0,0,,8295,20517,,,1393,1392.91151,1387.80036,32,109,,,,
217,DUSP1_timesweep,D,0,0,,6107,15533,,,1416,1415.06173,1378.74068,14,42,,,,
218,DUSP1_timesweep,D,0,0,,6123,12474,,,1384,1383.95999,1377.23152,12,28,,,,
219,DUSP1_timesweep,D,0,0,,7165,17719,,,1424,1423.19888,1395.21119,13,37,,,,
220,DUSP1_timesweep,D,0,0,,8986,18178,,,1282,1281.14957,1264.29767,16,38,,,,
221,DUSP1_timesweep,D,0,0,,8174,16946,,,1407,1406.69623,1392.43037,22,52,,,,
222,DUSP1_timesweep,D,0,0,,9469,18348,,,1398,1397.81614,1310.37617,16,10,,,,
223,DUSP1_timesweep,D,0,0,,8445,16883,,,1288,1287.2373,1227.60824,5,7,,,,
224,DUSP1_timesweep,D,0,0,,8787,14968,,,1134,1133.43325,1150.40754,3,9,,,,
225,DUSP1_timesweep,D,0,0,,2984,19943,,,1131,1130.82406,1178.11809,3,22,,,,
226,DUSP1_timesweep,D,100,10,,8161,14020,,,1281,1280.50104,1265.93887,26,58,,,,
227,DUSP1_timesweep,D,100,10,,9406,19182,,,1256,1255.5656,1237.53894,24,29,,,,
228,DUSP1_timesweep,D,100,10,,8410,16674,,,1406,1405.09001,1356.71183,47,80,,,,
229,DUSP1_timesweep,D,100,10,,7118,13980,,,1262,1261.68418,1249.54213,32,37,,,,
230,DUSP1_timesweep,D,100,10,,8624,18980,,,1360,1359.17103,1348.49779,26,65,,,,
231,DUSP1_timesweep,D,100,10,,8702,19061,,,1407,1406.68846,1478.84209,24,229,,,,
232,DUSP1_timesweep,D,100,10,,8697,19387,,,1487,1486.62435,1444.72311,50,98,,,,
233,DUSP1_timesweep,D,100,10,,8427,14216,,,1289,1288.26795,1316.55212,25,34,,,,
234,DUSP1_timesweep,D,100,10,,7456,16993,,,1230,1229.06491,1207.66421,11,21,,,,
235,DUSP1_timesweep,D,100,10,,10191,17517,,,1371,1370.98587,1338.94936,24,38,,,,
236,DUSP1_timesweep,D,100,10,,8003,12878,,,1276,1275.72873,1238.86442,8,3,,,,
237,DUSP1_timesweep,D,100,10,,8006,12780,,,1190,1189.95341,1195.09585,11,11,,,,
238,DUSP1_timesweep,D,100,10,,7602,17431,,,1215,1214.57958,1193.64294,14,18,,,,
239,DUSP1_timesweep,D,100,10,,8704,13992,,,1529,1528.72289,1460.76258,47,79,,,,
240,DUSP1_timesweep,D,100,10,,8126,18794,,,1414,1413.34605,1434.19581,31,78,4,,,
241,DUSP1_timesweep,D,100,10,,8172,15008,,,1418,1417.02423,1376.58249,36,54,,,,
242,DUSP1_timesweep,D,100,10,,9053,13478,,,1234,1233.93262,1183.89561,14,7,,,,
243,DUSP1_timesweep,D,100,10,,8020,13567,,,1022,1021.2485,1066.81883,1,2,,,,
244,DUSP1_timesweep,D,100,10,,9638,15763,,,1273,1272.17338,1222.57127,19,30,,,,
245,DUSP1_timesweep,D,100,10,,9049,16561,,,1339,1338.68803,1311.86094,32,78,,,,
246,DUSP1_timesweep,D,100,10,,9959,18413,,,1276,1275.10674,1203.43676,45,71,,,,
247,DUSP1_timesweep,D,100,10,,9721,15048,,,1374,1373.69766,1358.85839,20,45,,,,
248,DUSP1_timesweep,D,100,10,,10211,19172,,,1432,1431.84791,1424.04011,15,59,,,,
249,DUSP1_timesweep,D,100,10,,9234,15567,,,1208,1207.51094,1189.60429,9,26,,,,
250,DUSP1_timesweep,D,100,10,,9470,15047,,,1285,1284.34551,1274.69555,12,43,,,,
251,DUSP1_timesweep,D,100,10,,8033,12908,,,1337,1336.9222,1330.27216,25,57,,,,
252,DUSP1_timesweep,D,100,10,,8942,16839,,,1399,1398.0822,1396.5666,38,67,,,,
253,DUSP1_timesweep,D,100,10,,8269,16730,,,1285,1284.84654,1299.81004,14,50,,,,
254,DUSP1_timesweep,D,100,10,,7781,14730,,,1304,1303.97982,1303.06477,16,34,,,,
255,DUSP1_timesweep,D,100,10,,8423,15438,,,1396,1395.1915,1349.81779,31,28,,,,
256,DUSP1_timesweep,D,100,10,,8548,19881,,,1479,1478.81341,1456.21226,48,116,,,,
257,DUSP1_timesweep,D,100,10,,10043,20471,,,1257,1256.08782,1267.78482,13,29,,,,
258,DUSP1_timesweep,D,100,10,,9050,20820,,,1382,1381.75204,1356.25975,40,68,4,,,
259,DUSP1_timesweep,D,100,10,,9894,16802,,,1376,1375.47685,1389.12243,27,38,,,,
260,DUSP1_timesweep,D,100,10,,7771,15291,,,1287,1286.58422,1264.14348,35,62,,,,
261,DUSP1_timesweep,D,100,10,,9056,13928,,,1418,1417.62257,1330.38864,37,35,,,,
