Cell_id,Condition,Replica,Dex_Conc,Time_index,Time_TPL,Nuc_Area,Cyto_Area,Nuc_GR_avg_int,Cyto_GR_avg_int,Nuc_DUSP1_avg_int,Cyto_DUSP1_avg_int,RNA_DUSP1_nuc,RNA_DUSP1_cyto,DUSP1_ts_size_0,DUSP1_ts_size_1,DUSP1_ts_size_2,DUSP1_ts_size_3,normgrnuc,normgrcyt
50,GR_timesweep,A,0,0,NaN,4556,9410.75832881515,3563.49298,3805.23849,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11,28
51,GR_timesweep,A,0,0,NaN,9526,18712.6224799941,2270.21121,1961.25257,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,10
52,GR_timesweep,A,0,0,NaN,9334,18274.1336895516,3032.04853,2382.1587,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,14
53,GR_timesweep,A,0,0,NaN,11435,23418.3971599745,2915.04941,2596.30526,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7,16
54,GR_timesweep,A,0,0,NaN,9810,19372.8826726224,2388.69225,2483.20781,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,15
55,GR_timesweep,A,0,0,NaN,8323,16070.1393714748,3889.1759,4484.60167,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13,30
56,GR_timesweep,A,0,0,NaN,10660,21432.1682313693,2779.8652,2565.12109,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7,16
57,GR_timesweep,A,0,0,NaN,9613,18913.4067208882,4025.19921,3660.1516,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14,27
58,GR_timesweep,A,0,0,NaN,8774,17031.5376570339,3712.69695,4413.97768,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12,30
59,GR_timesweep,A,0,0,NaN,6427,12412.3190168862,2735.71604,3357.95102,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,24
60,GR_timesweep,A,0,0,NaN,8699,16869.2271072256,3207.35337,2950.1746,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9,20
61,GR_timesweep,A,0,0,NaN,5692,11161.1605815322,2688.4292,3183.55812,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,22
62,GR_timesweep,A,0,0,NaN,7186,13802.1560061497,1719.69218,1971.16587,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,10
63,GR_timesweep,A,0,0,NaN,6813,13106.7190965381,1763.46866,2024.37331,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,11
64,GR_timesweep,A,0,0,NaN,11651,23990.444783549,3020.54219,2854.50366,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,19
65,GR_timesweep,A,0,0,NaN,5862,11442.2580266307,2004.21,2162.71843,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,12
66,GR_timesweep,A,0,0,NaN,7244,13912.4502016895,1720.42684,1832.09392,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,9
67,GR_timesweep,A,0,0,NaN,8988,17499.9991524607,3237.77603,3438.47964,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9,24
68,GR_timesweep,A,0,0,NaN,9787,19318.8930235807,2665.63308,2767.94464,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,18
69,GR_timesweep,A,0,0,NaN,9566,18804.7748877663,3519.51035,3443.29699,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11,25
70,GR_timesweep,A,0,0,NaN,11140,22650.1330370072,2731.8149,2510.79987,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,15
71,GR_timesweep,A,0,0,NaN,8170,15751.9610255037,2450.47552,3018.01131,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,20
72,GR_timesweep,A,0,0,NaN,5727,11218.6259638538,2262.13986,2072.40074,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,11
73,GR_timesweep,A,0,0,NaN,6257,12114.64929461,3103.13329,3426.80326,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9,24
74,GR_timesweep,A,0,0,NaN,9767,19272.019694025,3032.08754,2679.2376,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,17
75,GR_timesweep,A,0,0,NaN,9844,19452.8606475074,2425.98395,2309.45635,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,13
76,GR_timesweep,A,0,0,NaN,3233,7652.87294380798,2463.50758,2609.61951,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,16
77,GR_timesweep,A,0,0,NaN,8250,15917.8249770738,2030.7177,2282.47224,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,13
78,GR_timesweep,A,0,0,NaN,2561,6875.63446804988,3490.97774,3529.28627,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11,25
79,GR_timesweep,A,0,0,NaN,6749,12989.8075727788,2678.97689,2332.62782,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,14
80,GR_timesweep,A,0,0,NaN,9276,18142.9244347773,2398.54442,2271.94658,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,13
81,GR_timesweep,A,0,0,NaN,7191,13811.6412651667,1893.99764,2062.41793,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,11
82,GR_timesweep,A,0,0,NaN,8961,17440.4586251894,2533.1752,2466.65646,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,15
83,GR_timesweep,A,0,0,NaN,10274,20481.5591937095,3098.1168,3188.3954,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,22
84,GR_timesweep,A,0,0,NaN,5927,11551.0542206774,2191.66256,2326.16318,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,14
85,GR_timesweep,A,0,0,NaN,9921,19634.7245789323,2861.48533,2854.1583,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7,19
86,GR_timesweep,A,0,0,NaN,6908,13281.5627330425,2150.39375,2357.45319,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,14
87,GR_timesweep,A,0,0,NaN,9317,18235.6156750303,2799.58839,2658.28177,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7,17
88,GR_timesweep,A,0,0,NaN,7268,13958.2589565696,1935.02504,2145.28069,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,12
89,GR_timesweep,A,0,0,NaN,3025,7403.97313501058,1659.42314,1776.34841,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,8
90,GR_timesweep,A,0,0,NaN,10389,20762.0831570816,2442.24882,2576.0473,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,16
91,GR_timesweep,A,0,0,NaN,5763,11277.953717836,2130.32743,1991.87374,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,10
92,GR_timesweep,A,0,0,NaN,10106,20075.8518472046,2350.15189,2306.15374,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,13
93,GR_timesweep,A,0,0,NaN,11750,24255.323576822,2218.93694,2154.55077,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,12
94,GR_timesweep,A,0,0,NaN,6990,13433.7325066739,2754.19385,3112.9899,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7,21
95,GR_timesweep,A,0,0,NaN,8253,15924.0663562416,2277.55737,2530.1701,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,16
96,GR_timesweep,A,0,0,NaN,4148,8836.43806756524,2375.6743,2569.96751,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,16
97,GR_timesweep,A,0,0,NaN,5373,10647.1466828052,2206.41895,2494.46837,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,15
98,GR_timesweep,A,0,0,NaN,3579,8083.44459194157,2270.61777,2635.06313,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,17
99,GR_timesweep,A,0,0,NaN,8804,17096.7336243445,2717.80543,2799.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,18
100,GR_timesweep,A,0,0,NaN,9203,17978.6067426046,3027.51505,3131.08406,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,21
101,GR_timesweep,A,0,0,NaN,10604,21292.6617880381,2412.37712,2500.04877,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,15
102,GR_timesweep,A,0,0,NaN,5287,10511.5771525806,4361.45602,4358.19693,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16,30
103,GR_timesweep,A,0,0,NaN,9551,18770.1853839723,2702.343,2896.25693,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,19
104,GR_timesweep,A,0,0,NaN,5582,10981.9310849748,3433.07094,3711.86521,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10,27
105,GR_timesweep,A,0,0,NaN,9476,18597.8201808322,2268.11777,2286.15819,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,13
106,GR_timesweep,A,0,0,NaN,10303,20552.0848643399,2466.85072,2375.59269,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,14
107,GR_timesweep,A,0,0,NaN,9162,17886.7219450745,2442.94947,2387.55784,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,14
108,GR_timesweep,A,0,0,NaN,7497,14400.3489937903,2031.85901,2457.3556,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,15
109,GR_timesweep,A,0,0,NaN,6577,12679.1096844048,3032.6763,3096.94473,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,21
110,GR_timesweep,A,0,0,NaN,7456,14320.5325408668,3109.46137,2943.06221,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9,20
111,GR_timesweep,A,0,0,NaN,9604,18892.5753765011,2216.6742,2030.88897,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,11
112,GR_timesweep,A,0,0,NaN,8005,15413.3540501949,2371.59013,2281.25077,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,13
113,GR_timesweep,A,0,0,NaN,9969,19748.6119164891,2080.19982,1965.07784,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,10
114,GR_timesweep,A,0,0,NaN,9175,17915.8247472491,3064.12163,3175.16456,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,22
115,GR_timesweep,A,0,0,NaN,11756,24271.4311864978,2464.63406,2137.06892,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,12
116,GR_timesweep,A,0,0,NaN,6189,11996.9775833875,3346.33414,2995.12329,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10,20
117,GR_timesweep,A,0,0,NaN,8289,15999.0840279482,2715.23754,3192.63318,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,22
118,GR_timesweep,A,0,0,NaN,7901,15202.3425094516,2467.35793,2555.91857,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,16
119,GR_timesweep,A,0,0,NaN,7356,14127.0746585108,3496.4338,3649.83956,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11,27
120,GR_timesweep,A,0,0,NaN,9509,18673.5413013634,2669.83752,2654.84255,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,17
