Cell_id,Condition,Replica,Dex_Conc,Time_index,Time_TPL,Nuc_Area,Cyto_Area,Nuc_GR_avg_int,Cyto_GR_avg_int,Nuc_DUSP1_avg_int,Cyto_DUSP1_avg_int,RNA_DUSP1_nuc,RNA_DUSP1_cyto,DUSP1_ts_size_0,DUSP1_ts_size_1,DUSP1_ts_size_2,DUSP1_ts_size_3,tryptCond1,tryptCond2,tryptCond3,tryptCond4,tryptCond5
61,DUSP1_TPL,O,0.0,0,,8621,18898.0,,,1378.86718,1335.36411,49.0,105.0,13.0,,,,1,2,3,4,5
62,DUSP1_TPL,O,0.0,0,,7337,13407.0,,,1389.3575,1322.82047,37.0,76.0,,,,,1,2,3,4,5
63,DUSP1_TPL,O,0.0,0,,6903,11570.0,,,1337.74156,1291.52662,31.0,50.0,,,,,1,2,3,4,5
64,DUSP1_TPL,O,0.0,0,,7190,12128.0,,,1257.99444,1251.43379,22.0,38.0,,,,,1,2,3,4,5
65,DUSP1_TPL,O,0.0,0,,7947,5591.0,,,1215.52561,1224.16527,29.0,26.0,,,,,1,2,3,4,5
66,DUSP1_TPL,O,0.0,0,,6822,9968.0,,,1175.54339,1128.54013,4.0,16.0,,,,,1,2,3,4,5
67,DUSP1_TPL,O,0.0,0,,7054,6814.0,,,995.70811,985.02876,6.0,4.0,,,,,1,2,3,4,5
68,DUSP1_TPL,O,0.0,0,,7222,8657.0,,,996.53919,1003.85457,3.0,7.0,,,,,1,2,3,4,5
69,DUSP1_TPL,O,0.0,0,,7279,8156.0,,,1162.30719,1142.46444,39.0,30.0,,,,,1,2,3,4,5
70,DUSP1_TPL,O,0.0,0,,6946,9885.0,,,1103.98575,1108.78675,13.0,43.0,,,,,1,2,3,4,5
71,DUSP1_TPL,O,0.0,0,,7950,11434.0,,,1172.0722,1181.58037,26.0,66.0,,,,,1,2,3,4,5
72,DUSP1_TPL,O,0.0,0,,7229,10263.0,,,1250.64089,1233.89974,28.0,55.0,,,,,1,2,3,4,5
73,DUSP1_TPL,O,0.0,0,,7100,8848.0,,,1160.61986,1174.57968,10.0,13.0,,,,,1,2,3,4,5
74,DUSP1_TPL,O,0.0,0,,8741,6648.0,,,1389.49274,1295.74037,55.0,29.0,,,,,1,2,3,4,5
75,DUSP1_TPL,O,0.0,0,,7259,9737.0,,,1286.59691,1278.66571,19.0,45.0,,,,,1,2,3,4,5
76,DUSP1_TPL,O,0.0,0,,8631,8960.0,,,1220.06593,1160.38917,19.0,21.0,,,,,1,2,3,4,5
77,DUSP1_TPL,O,0.0,0,,7410,15563.0,,,1042.57085,1062.72402,3.0,23.0,,,,,1,2,3,4,5
78,DUSP1_TPL,O,0.0,0,,7550,7201.0,,,967.95073,983.11915,2.0,8.0,,,,,1,2,3,4,5
79,DUSP1_TPL,O,0.0,0,,8353,12811.0,,,1135.07734,1159.62782,33.0,94.0,,,,,1,2,3,4,5
80,DUSP1_TPL,O,0.0,0,,8587,10726.0,,,1225.34471,1255.85661,46.0,87.0,,,,,1,2,3,4,5
