nucGRint,cytoGRint,time,dex_conc,unique_cell_id,normGRcyt,normGRnuc
5158.397515164798,1356.003763535959,180,10,1656,4,18
4442.298465359553,1291.7202109521602,180,10,1657,3,14
4839.912848624089,1269.4567395652805,180,10,1658,3,16
4151.099995306348,1217.096932026855,180,10,1659,2,13
5005.1503890331,1361.0270133402485,180,10,1662,4,17
4738.969247853059,1327.243215480084,180,10,1665,3,16
4145.268808360912,1228.3158184242916,180,10,1666,2,13
5092.737471781246,1289.0310958592747,180,10,1671,3,18
4875.7302940393365,1240.3411016993318,180,10,1672,2,16
4318.044464625605,1301.5200061762023,180,10,1675,3,13
4118.781783845474,1202.0032436043243,180,10,1676,2,12
3824.877036406621,1223.9944484155462,180,10,1677,2,11
4546.771934200342,1299.555583706243,180,10,1678,3,15
4289.723411457238,1298.8498742833087,180,10,1679,3,13
4916.715380857818,1289.512960659696,180,10,1680,3,17
4025.992611883488,1215.8180508121309,180,10,1682,2,12
4886.062476854807,1276.846714786144,180,10,1683,3,17
3691.996509713376,1175.9505829742943,180,10,1688,2,10
4598.161154475074,1371.4984156128578,180,10,1689,4,15
4973.86919237266,1319.8637837343244,180,10,1690,3,17
5356.826652882388,1289.12327889765,180,10,1692,3,19
5167.741806926661,1381.9644358901833,180,10,1694,4,18
4601.906575680198,1247.8662687787569,180,10,1696,3,15
6239.633029603584,1398.255931970854,180,10,1697,4,24
4044.135763199511,1240.09731545767,180,10,1699,2,12
4838.043279834843,1273.1992641119732,180,10,1702,3,16
5177.806876798124,1313.6663549999078,180,10,1704,3,18
4646.040379604675,1261.7957506372811,180,10,1705,3,15
4471.088193088212,1307.5995873547354,180,10,1706,3,14
4609.951688024635,1343.2164947029485,180,10,1708,3,15
5198.074707518865,1390.8227311897344,180,10,1709,4,18
4559.812196729491,1250.8698220557355,180,10,1712,3,15
3742.896804758684,1220.2201872603457,180,10,1714,2,10
5806.311458291664,1374.0134819446353,180,10,1715,4,21
